"","title","author","subject","abstract","meta"
"80","Study of forbidden $β$ decays within the realistic shell model","G. De Gregorio, R. Mancino, L. Coraggio, N. Itaco","Nuclear Theory (nucl-th)","For the first time, half-lives and energy spectra of forbidden $\beta$ decays are calculated within the realistic shell model. Namely, we approach this issue starting from a realistic nucleon-nucleon potential and deriving effective Hamiltonians and decay operators. Our goal is to explore the sensitivity of the shape of calculated energy spectra to the renormalization of forbidden $\beta$ -decay operators, an operation that allows to take into account those configurations that are not explicitly included in the chosen model space. The region that has been considered for this investigation are nuclei outside the $^{78}$Ni core, more precisely we have studied the second-forbidden $\beta$ decays of $^{94}$Nb and $^{99}$Tc, and fourth-forbidden $\beta$ decays of $^{113}$Cd and $^{115}$In, that are currently of a renewed experimental interest in terms of novel spectroscopic techniques. Our results evidence that the introduction of a renormalized $\beta$-decay operator leads to a marked improvement of the reproduction of experimental half-lives. As regards the spectra of both second-forbidden and fourth-forbidden decays, we have found that their calculated shapes are in good agreement with the observed ones, even if scarcely responsive to the renormalization of the decay operator. We carry out also a detailed inspection of the different components of the calculated spectra for a deeper insight about their role in reproducing the experimental shapes.","Mon, 4 Mar 2024 17:58:48 UTC (289 KB)"
"81","Neutron star cooling and mass distributions","H. C. Das, Jin-Biao Wei, G. F. Burgio, H.-J. Schulze","High Energy Astrophysical Phenomena (astro-ph.HE)","We study the cooling of isolated neutron stars, employing different nuclear equations of state with or without active direct Urca process, and investigate the interplay with the nuclear pairing gaps. We find that a consistent description of all current cooling data requires fast DU cooling and reasonable proton 1S0 gaps, but no neutron 3P2 pairing. We then deduce the neutron star mass distributions compatible with the cooling analysis and compare with current theoretical models. Reduced 1S0 gaps and unimodal mass distributions are preferred by the analysis.","Mon, 4 Mar 2024 17:12:33 UTC (494 KB)"
"82","The utilization of magneto-hydrodynamics framework in expansion of magnetized viscous conformal flow","M. karimabadi, A.F. Kord, B. Azadegan","Nuclear Theory (nucl-th)","The evolution of magnetized quark gluon plasma (QGP) in the framework of magneto-hydrodynamics is the focus of our study. We are investigating the temporal and spatial evolution of QGP using a second order viscous hydrodynamic framework. The fluid is considered to be magnetized and subjected to the influence of a magnetic field that is generated during the early stages of relativistic heavy ion collisions.We assume boost invariance along the beam line, which is represented by the $z$ coordinate, and fluid expansion in the $x$ direction. Additionally, we assume that the magnetic field is perpendicular to the reaction plane, which corresponds to the $y$ direction. The fluid is considered to have infinite electrical conductivity. To analyze this system, we solve the coupled Maxwell and conservation equations. By doing so, we are able to determine the time and space dependence of the energy density, velocity, and magnetic field in the transverse plane of the viscous magnetized hot plasma. Furthermore, we obtain the spectrum of hadrons and compare it with experimental data.","Mon, 4 Mar 2024 15:44:52 UTC (936 KB)"
"83","Multidimensional spectroscopy of nuclear spin clusters in diamond","Konstantin Herb, Takuya F. Segawa, Laura A. Völker, John M. Abendroth, Erika Janitz, Tianqi Zhu, Christian L. Degen","Quantum Physics (quant-ph)","Optically active spin defects in solids offer promising platforms to investigate nuclear spin clusters with high sensitivity and atomic-site resolution. To leverage near-surface defects for molecular structure analysis in chemical and biological contexts using nuclear magnetic resonance (NMR), further advances in spectroscopic characterization of nuclear environments are essential. Here, we report Fourier spectroscopy techniques to improve localization and mapping of the testbed $^{13}\mathrm{C}$ nuclear spin environment of individual, shallow nitrogen-vacancy centers at room temperature. We use multidimensional spectroscopy, well-known from classical NMR, in combination with weak measurements of single-nuclear-spin precession. We demonstrate two examples of multidimensional NMR: (i) improved nuclear spin localization by separate encoding of the two hyperfine components along spectral dimensions and (ii) spectral editing of nuclear-spin pairs, including measurement of internuclear coupling constants. Our work adds important tools for the spectroscopic analysis of molecular structures by single-spin probes.","Mon, 4 Mar 2024 15:18:02 UTC (1,114 KB)"
"84","A Global View of the EDM Landscape","Skyler Degenkolb, Nina Elmer, Tanmoy Modak, Margarete Mühlleitner, Tilman Plehn","High Energy Physics - Phenomenology (hep-ph)","Permanent electric dipole moments (EDMs) are sensitive probes of the symmetry structure of elementary particles, which in turn is closely tied to the baryon asymmetry in the universe. A meaningful interpretation framework for EDM measurements has to be based on effective quantum field theory. We interpret the measurements performed to date in terms of a hadronic-scale Lagrangian, using the SFitter global analysis framework. We find that part of this Lagrangian is constrained very well, while some of the parameters suffer from too few high-precision measurements. Theory uncertainties lead to weaker model constraints, but can be controlled within the global analysis.","Mon, 4 Mar 2024 13:55:02 UTC (1,462 KB)"
"85","Relativistic corrections to energy spectrum of hydrogen due to the full one-photon-exchange interaction","Zi-Wen Zhang, Hai-Qing Zhou","Nuclear Theory (nucl-th)","In this work, we estimate the relativistic corrections to the energy spectrum of hydrogen resulting from the full one-photon-exchange interaction using a highly precise numerical method. In the frame of the effective Schrodinger-like equation, which is derived exactly from the Bethe-Salpeter equation in quantum electrodynamics, we express the effective potential corresponding to the full one-photon-exchange interaction in terms of eight scalar functions. Unlike the usual calculations performed in the references, where the effective potential is expanded in terms of momenta order by order, we retain the exact momentum dependence in the effective potential to estimate its corrections to the energy spectrum of hydrogen using a highly precise numerical method. We also use the same numerical method to double-check the results in the non-relativistic case to ensure accuracy. We discuss the comparison of the numerical results with those obtained using the usual bound-state perturbative theory. Our calculations suggest that it is possible to accurately account for all the relativistic contributions using this method. It would be interesting to extent these calculations to positronium, muonic hydrogen, and cases involving nuclear structure and radiative corrections.","Mon, 4 Mar 2024 12:53:35 UTC (33 KB)[v2] Thu, 7 Mar 2024 00:36:06 UTC (84 KB)"
"86","Systematic study of cluster radioactivity in trans-lead nuclei within various versions of proximity potential formalisms","Xiao Liu, Jie-Dong Jiang, Xi-Jun Wu, Xiao-Hua Li","Nuclear Theory (nucl-th)","In this work, based on the framework of the Coulomb and proximity potential model (CPPM), we systematically study the cluster radioactivity half-lives of 26 trans-lead nuclei by considering the cluster preformation probability which is found to possess a simple mass dependence on the emitted cluster by R. Blendowske and H. Walliser [Phys. Rev. Lett. 61, 1930(1988)]. Meanwhile, we investigate 28 different versions of the proximity potential formalisms, which are the most complete known proximity potential formalisms and have been proposed for the description of proton radioactivity, two-proton radioactivity, {\alpha} decay, heavy-ion radioactivity, quasi-elastic scattering, fusion reactions and other applications. The calculated results show that the modified forms of proximity potential 1977 denoted as Prox.77-12 and the proximity potential 1981 denoted as Prox.81 are the most appropriate proximity potential formalisms for the study of cluster radioactivity as the root-mean-square deviation between experimental data and relevant theoretical results obtained are least and the both values are 0.681. For comparison, a universal decay law (UDL) proposed by Qi et al. [Phys. Rev. C 80, 044326 (2009)], a unified formula of half-lives for {\alpha} decay and cluster radioactivity proposed by Ni et al. [Phys. Rev. C 78, 044310 (2008)] and a scaling law (SL) in cluster decay proposed by Horoi et al. [J. Phys. G 30, 945 (2004)] are also used. In addition, utilizing CPPM with Prox.77- 12, Prox.77-1, Prox.77-2 and Prox.81, we predict the half-lives of 51 potential cluster radioactive candidates whose cluster radioactivity is energetically allowed or observed but not yet quantified in NUBASE2020. The predicted results are in the same order of magnitude with those obtained by using the compared semi-empirical and/or empirical formulae.","Mon, 4 Mar 2024 12:36:41 UTC (156 KB)"
"87","Dynamical Model of $J/Ψ$ photo-production on the nucleon","S. Sakinah, T.-S. H. Lee, Ho-Meoyng Choi","Nuclear Theory (nucl-th)","A dynamical model based on a phenomenological charm quark-nucleon($c$-N) potential $v_{cN}$ and the Pomeron-exchange mechanism is constructed to investigate the $J/\Psi$ photo-production on the nucleon from threshold to invariant mass $W=300$ GeV. The $J/\Psi$-N potential,$V_{J/\Psi N}(r)$,is constructed by folding $v_{cN}$ into the wavefunction $\Phi_{J/\Psi}(c\bar{c})$ of $J/\Psi$ within a Constituent Quark Model(CQM) of Ref.[43]. A photo-production amplitude is also generated by $v_{cN}$ by a $c\bar{c}$-loop integration over the $\gamma\rightarrow c\bar{c}$ vertex function and $\Phi_{J/\Psi}(c\bar{c})$. No commonly used Vector Meson Dominance assumption is used to define this photo-production amplitude which is needed to describe the data near the threshold. The potential $v_{cN}(r)$ is parameterized in a form such that the predicted $V_{J/\Psi N}(r)$ at large distances has the same Yukawa potential form extracted from a Lattice QCD(LQCD) calculation of Ref.[18]. The parameters of $v_{cN}$ are determined by fitting the total cross section data of JLab by performing calculations that include $J/\Psi$-N final state interactions(FSI). The resulting differential cross sections are found in good agreements with the data. It is shown that the FSI effects dominate the cross section in the very near threshold region, allowing for sensitive testing of the predicted $J/\Psi$-N scattering amplitudes. By imposing the constraints of $J/\Psi$-N potential extracted from the LQCD calculation, we have obtained three $J/\Psi$-N potentials which fit the JLab data equally well. The resulting $J/\Psi$-N scattering lengths are in the range of $a=(-0.05$ fm $\sim$ $-0.25$ fm). With the determined $v_{cN}(r)$ and the wavefunctions generated from the same CQM, the constructed model is used to predict the cross sections of photo-production of $\eta_c(1S)$ and $\Psi(2S)$ mesons for future experimental tests.","Mon, 4 Mar 2024 11:52:42 UTC (640 KB)"
"88","Femtotesla Atomic Magnetometer for Zero- and Ultralow-field Nuclear Magnetic Resonance","Taizhou Hong, Yuanhong Wang, Zhenhan Shao, Qing Li, Min Jiang, Xinhua Peng","Quantum Physics (quant-ph)","Zero- and ultralow-field nuclear magnetic resonance (ZULF NMR) has experienced rapid development and provides an excellent tool for diverse research fields ranging from materials science, quantum information processing to fundamental physics. The detection of ZULF NMR signals in samples with natural abundance remains a challenging endeavor, due to the limited sensitivity of NMR detectors and thermal polarization. In this work, we demonstrate a femtotesla potassium spin-exchange relaxation-free (SERF) magnetometer designed for ZULF NMR detection. A potassium vapor cell with high buffer gas pressure and high atomic number density is used in the magnetometer. With absorption spectroscopy and SERF effect, the key parameters of the vapor cell are characterized and applied to optimize the magnetometer sensitivity. To combine our SERF magnetometer and ZULF NMR detection, a custom-made vacuum chamber is employed to keep NMR sample close to the magnetometer cell and protect the sample from undesired heating effects. Gradiometric measurement is performed to greatly reduce the magnetic noise. With the phase calibration applied, the gradiometric measurement achieves 7-fold enhancement in magnetic-field sensitivity compared to the single channel and has a magnetic noise floor of 1.2 fT/Hz$^{1/2}$. Our SERF magnetometer exhibits high sensitivity and is promising to realize ZULF NMR detection of samples with natural abundance.","Mon, 4 Mar 2024 10:32:26 UTC (8,759 KB)"
"89","Isospin-forbidden electric dipole transition of the 9.64 MeV state of $^{12}$C","Y. Suzuki, W. Horiuchi, M. Kimura","Nuclear Theory (nucl-th)","The electric dipole transition of the 3$^-$ state at 9.64 MeV of $^{12}$C to the 2$^+$ state at 4.44 MeV is speculated to play a key role in the triple-$\alpha$ reaction at high temperatures. A theoretical prediction of its transition width is a challenge to nuclear theory because it belongs to a class of isospin-forbidden transitions. We extend a microscopic 3$\alpha$ cluster-model to include isospin 1 impurity components, and take into account both isovector and isoscalar electirc dipole operators. Several sets of $2^+$ and $3^-$ wave functions are generated by solving a radius-constrained equation of motion with the stochastic variational method, resulting in reproducing very well the electric quadrupole and octupole transition probabilities to the ground state. The electric dipole transition width is found to be 7--31 meV, 16 meV on the average, and more than half of the width is contributed by the isospin mixing of $\alpha$ particles.","Mon, 4 Mar 2024 07:34:41 UTC (21 KB)"
"90","Identify the new state $Y(3872)$ as the P-wave $D\bar{D}^*/\bar{D}D^*$ resonance","Zi-Yang Lin, Jun-Zhang Wang, Jian-Bo Cheng, Lu Meng, Shi-Lin Zhu","High Energy Physics - Phenomenology (hep-ph)","The BESIII Collaboration recently observed a new charmonium-like vector state $Y(3872)$ in $e^+e^-\rightarrow D\bar{D}$, which should be the first P-wave $D\bar{D}^*/\bar{D}D^*$ molecular resonance. The experimental and theoretical identification of the P-wave dimeson state holds paramount importance in enhancing our comprehension of the non-perturbative QCD and few-body physics. Its existence is firmly established in a unified meson-exchange model which simultaneously depicts the features of the $\chi_{c1}(3872)$, $Z_c(3900)$ and $T_{cc}(3875)$. This scenario can be directly examined in the $e^+e^-\rightarrow D\bar{D}^*/\bar{D}D^*$ cross section to see whether a resonance exists at the threshold. The credibility of the investigations is also ensured by the fact that the P-wave interaction dominantly arises from the well-known long-range pion exchange. Additionally, the existence of the P-wave resonance only depends on the interaction strength and is less sensitive to the potential shapes. We extensively calculate all systems up to P-wave with various quantum numbers and predict a dense population of the $D\bar{D}^*/\bar{D}D^*$ and $DD^*$ states, where the S-wave $D\bar{D}^*/\bar{D}D^*$ state with $I^G (J^{PC})=0^- (1^{+-})$, P-wave $D\bar{D}^*/\bar{D}D^*$ state with $I^G(J^{PC})=0^+(0^{-+})$, and P-wave $DD^*$ state with $I(J^P)=0(0^-)$ are more likely to be observed in experiments.","Mon, 4 Mar 2024 04:36:51 UTC (390 KB)"
"91","Eigenphase shift decomposition of the RPA strength function based on the Jost-RPA method","K. Mizuyama, T. Dieu Thuy, T. V. Nhan Hao","Nuclear Theory (nucl-th)","The S-matrix which satisfies the unitarity, giving the poles as RPA excited states, is derived using the extended Jost function within the framework of the RPA theory. An analysis on the correspondence between the component decomposition of the RPA strength function by the eigenphase shift obtained by diagonalisation of the S-matrix and the S- and K-matrix poles was performed in the calculation of the $^{16}$O quadrupole excitations. The results show the possibility that the states defined by the eigenphase shift can be expressed as RPA-excited eigenstates corresponding to the S-matrix poles in the continuum region.","Mon, 4 Mar 2024 04:19:33 UTC (192 KB)"
"92","Molecular intercalation in the van der Waals antiferromagnets FePS3 and NiPS3","Cong Li, Ze Hu, Xiaofei Hou, Sheng Xu, Zhanlong Wu, Kefan Du, Shuo Li, Xiaoyu Xu, Ying Chen, Zeyu Wang, Tiancheng Mu, Tian-Long Xia, Yanfeng Guo, B. Normand, Weiqiang Yu, Yi Cui","Strongly Correlated Electrons (cond-mat.str-el)","We have performed electrochemical treatment of the van der Waals antiferromagnetic materials FePS$_3$ and NiPS$_3$ with the ionic liquid EMIM-BF$_4$, achieving significant molecular intercalation. Mass analysis of the intercalated compounds, EMIM$_x$-FePS$_3$ and EMIM$_x$-NiPS$_3$, indicated respective intercalation levels, $x$, of approximately 27\% and 37\%, and X-ray diffraction measurements demonstrated a massive (over 50\%) enhancement of the $c$-axis lattice parameters. To investigate the consequences of these changes for the magnetic properties, we performed magnetic susceptibility and $^{31}$P nuclear magnetic resonance (NMR) studies of both systems. For EMIM$_x$-FePS$_3$, intercalation reduces the magnetic ordering temperature from $T_N = 120$~K to 78~K, and we find a spin gap in the antiferromagnetic phase that drops from 45~K to 30~K. For EMIM$_x$-NiPS$_3$, the ordering temperature is almost unaffected (changing from 148~K to 145~K), but a change towards nearly isotropic spin fluctuations suggests an alteration of the magnetic Hamiltonian. Such relatively modest changes, given that the huge extension of the $c$ axes is expected to cause a very strong suppression any interlayer interactions, point unequivocally to the conclusion that the magnetic properties of both parent compounds are determined solely by two-dimensional (2D), intralayer physics. The changes in transition temperatures and low-temperature spin dynamics in both compounds therefore indicate that intercalation also results in a significant modulation of the intralayer magnetic interactions, which we propose is due to charge doping and localization on the P sites. Our study offers chemical intercalation with ionic liquids as an effective method to control not only the interlayer but also the intralayer interactions in quasi-2D magnetic materials.","Mon, 4 Mar 2024 04:03:31 UTC (2,889 KB)"
"93","Density-dependent quark mean-field model for nuclear matter and neutron stars","Kaixuan Huang, Jinniu Hu, Ying Zhang, Hong Shen","Nuclear Theory (nucl-th)","We develop a density-dependent quark mean-field (DDQMF) model to study the properties of nuclear matter and neutron stars, where the coupling strength between $\sigma$ meson and nucleon is generated by the degree of freedom of quarks, while other meson coupling constants are regarded as density-dependent ones. Two values for the nucleon effective mass, $M^*_{N0}/M_N=0.556,~0.70$ at the saturation density are chosen based on the consideration of the core-collapse supernova simulation and finite nuclei when the meson-nucleon coupling constants are fixed. We find that the equation of state (EOS) of nuclear matter, the symmetry energy, the mass-radius relations, and the tidal deformabilities of neutron stars with larger nucleon effective mass are more sensitive to the skewness coefficient $J_0$. The EOSs with $M^*_{N0}/M_N=0.70$ are softer when the skewness coefficient $J_0=-800$ MeV. However, the maximum masses of the neutron star can be around $2.32M_\odot$ with $J_0=400$ MeV regardless of the value of the nucleon effective mass. By manipulating the coupling strength of the isovector meson to generate different slopes of symmetry energy, we construct the neutron star EOSs that can satisfy the different variables from the simultaneous mass-radius measurements of PSR J0030+0451, PSR J0740+6620 by the NICER collaboration, the mass-radius relations of HESS J1731-347, and the radius constraints from the gravitational-wave signal GW170817 in the framework of DDQMF model. At the same time, most of these constructed EOSs can also satisfy the constraints of the tidal deformability from GW170817 event.","Mon, 4 Mar 2024 04:00:02 UTC (448 KB)"
"94","Shell-cluster transition in $^{48}$Ti","M. Okada, W. Horiuchi, N. Itagaki","Nuclear Theory (nucl-th)","Background: Whether or not the $\alpha$ ($^4$He nucleus) clustering exists in the medium-mass region of nuclear systems is a fundamental and intriguing question. However, the recent analysis of the $\alpha$ knockout reaction on $^{48}$Ti [Phys. Rev. C 103, L031305 (2021)] poses a puzzle: The microscopic wave function gives an $\alpha$ knockout cross section that is two orders of magnitude smaller than the experiment, while basic nuclear properties such as the charge radius and the electromagnetic transition probabilities are well explained. Purpose: The ground-state structure of $^{48}$Ti is investigated by using proton- and $\alpha$-nucleus elastic scattering at a few to several hundred MeV, which offers different sensitivity to the region of the nuclear density profiles. Method: Four types of density distributions, the $jj$-coupling shell model and three cluster model configurations, are generated in a single scheme by the antisymmetrized quasi-cluster model (AQCM). The angular distribution of the proton- and $\alpha$-$^{48}$Ti elastic scattering cross sections are obtained with a reliable high-energy reaction theory, the Glauber model. Results: The $jj$-coupling shell model configuration is found to best reproduce the proton-nucleus elastic scattering cross section. On the other hand, the trace of the $\alpha$ cluster structure in the tail region of the wave function is embedded in the $\alpha$-nucleus elastic scattering cross section. Conclusion: Our results suggest that the structure of the nucleus changes as a function of distance from the center, from the $jj$-coupling shell model structure in the surface region to the $\alpha$+$^{44}$Ca cluster structure in the tail region. This picture is consistent with the finding of the $\alpha$ knockout reaction on $^{48}$Ti.","Mon, 4 Mar 2024 02:35:05 UTC (81 KB)"
"95","Crystal Structure and Magnetism of Actinide Oxides: A Review","Binod K. Rai, Alex Bretana, Gregory Morrison, Ryan Greer, Krzysztof Gofryk, Hans-Conrad zur Loye","Strongly Correlated Electrons (cond-mat.str-el)","In actinide systems, the 5f electrons experience a uniquely delicate balance of effects and interactions having similar energy scales, which are often difficult to properly disentangle. This interplay of factors such as the dual nature of 5f-states, strong electronic correlations, and strong spin-orbit coupling results in electronically unusual and intriguing behavior such as multi-k antiferromagnetic ordering, multipolar ordering, mott-physics, mixed valence configurations, and more. Despite the inherent allure of their exotic properties, the exploratory science of even the more basic, binary systems like the actinide oxides has been limited due to their toxicity, radioactivity, and reactivity. In this article, we provide an overview of the available synthesis techniques for selected binary actinide oxides, including the actinide dioxides, sesquioxides, and a selection of higher oxides. For these oxides, we also review and evaluate the current state of knowledge of their crystal structures and magnetic properties. In many aspects, substantial knowledge gaps exist in the current body of research on actinide oxides related to understanding their electronic ground states. Bridging these gaps is vital for improving not only a fundamental understanding of these systems but also of future nuclear technologies. To this end, we note the experimental techniques and necessary future investigations which may aid in better elucidating the nature of these fascinating systems.","Sun, 3 Mar 2024 22:46:00 UTC (112 KB)"
"96","Application of the concept of hierarchical subordination to chain reactions in a nuclear reactor","V. V. Ryazanov","Statistical Mechanics (cond-mat.stat-mech)","Based on the theory of hierarchical structures, a correspondence has been established between the dynamics for the number of neutrons obtained from the theory of branching processes, the number of neutrons of the n-th generation, the number of nodes at the n-th level of the hierarchy, the rate of change in the probability of a chain reaction, the type of intensity and strength of the hierarchical connection, the degree reactor criticality, and neutron trajectories in the reactor. A connection has been found between the probabilities of the formation of a certain generation of the number of neutrons and the probability of the occurrence of a self-sustaining chain reaction of nuclear fission. It is shown that the Tsallis and Rényi distributions describing these processes are related by relations of deformed algebra, and under certain conditions can be accompanying with respect to each other.","Sun, 3 Mar 2024 09:57:43 UTC (429 KB)"
"97","Neutron stars as a dense liquid drop at equilibrium within the effective surface approximation","A.G. Magner, S.P. Maydanyuk, A. Bonasera, H. Zheng, T. Depastas, A.I. Levon, U.V. Grygoriev","Nuclear Theory (nucl-th)","The macroscopic model for a neutron star (NS) as a liquid drop for the equilibrium at zero temperature, $T=0$, is formulated for derivations of the equation of state (EoS) for the pressure $P=P(\rho)$, the particle number density $\rho$, and the NS mass $M$ expressions in the leptodermic approximation $a/R \ll 1$, where $a$ is the diffused NS effective surface (ES), and $R$ is the effective NS radius. The macroscopic gravitation is taken into account in terms of the potential $\Phi(\rho)$ as a second order expansion in powers of $\rho-\overline{\rho} $, where $\overline{\rho}$ is the saturation density. The density distribution $\rho$ across the NS ES in the normal direction to the ES was obtained analytically for a general form of the energy density $\mathcal{E}(\rho)$, in the leading order of the approximation $a/R \ll 1$ for both spherical and deformed ES shapes. For a spherically symmetric NS and its typical parameters such as a crust thickness, $a \sim 1$ km, effective radii, $R\sim 10$ km, and central particle-number density (saturation) value, $\overline{\rho} \sim 2\cdot 0.16$ fm$^{-3}$, we find the leading expression for the particle number density $\rho$. The surface NS mass correction $M_{\rm S}$ to the volume part, $M_{\rm V}$, is found as $M_{\rm S} \approx - (2a/R) M_{\rm V}$. The analytical solution to the Tolman-Oppenhamer-Volkoff (TOV) equations for the pressure $P$ at different typical experimentally known N masses, $M=(1.4-2.0) M_\odot$, is in good agreement with the corresponding numerical results. As shown from their comparison with our EoS pressure, $P=P(\rho)$, we emphasize importance of its surface corrections $P_{\rm S}$ near the NS edge.","Sun, 3 Mar 2024 08:57:49 UTC (490 KB)"
"98","Spin-Dependent Stereochemistry: A Non-adiabatic Quantum Dynamics Case Study of S + H2 -> SH + H Reaction","Xuezhi Bian, Joseph Subotnik","Chemical Physics (physics.chem-ph)","We study the spin-dependent stereodynamics of the S + H2 -> SH + H reaction using full-dimensional quantum dynamics calculations with zero total nuclear angular momentum along the triplet 3A"" states and singlet 1A' states. We find that the interplay between the electronic spin direction and the molecular geometry has a measurable influence on the singlet-triplet intersystem crossing reaction probabilities. Our results show that for some incident scattering angles in the body-fixed frame, the relative difference in intersystem crossing reaction probabilities (as determined between spin up and spin down initial states) can be as large as 15%. Our findings are an ab initio demonstration of spin-dependent nonadiabatic dynamics which we hope will shine light as far as understanding the chiral-induced spin selectivity effect.","Sat, 2 Mar 2024 19:01:19 UTC (1,291 KB)"
"99","Analyzing the transport coefficients and observables of a rotating QGP medium in kinetic theory framework with a novel approach to the collision integral","Shubhalaxmi Rath, Sadhana Dash","High Energy Physics - Phenomenology (hep-ph)","In the present work, we have studied how the rotation of the QGP medium affects the transport coefficients and observables in heavy ion collisions. For the noncentral collisions, although most of the angular momentum gets carried away by the spectators, there still remains a finite angular momentum with a finite range of angular velocity, which thus incites rotation in the produced matter. As a result, various properties of the QGP medium are likely to be modulated by the rotation. We have calculated the transport coefficients and observables, such as electrical conductivity, thermal conductivity, Knudsen number, elliptic flow, specific heat at constant pressure, specific heat at constant volume, trace anomaly, thermal diffusion constant and isothermal compressibility using the kinetic theory to see the effect of rotation on them. In particular, we have used the novel relaxation time approximation for the collision integral in the relativistic Boltzmann transport equation to derive the transport coefficients and compared them with their values in the relaxation time approximation within the kinetic theory approach in conjunction with the finite angular velocity. We have found that the angular velocity plays an important role and enhances the flow of charge and heat in the medium. Further, as compared to the relaxation time approximation, the electrical and thermal conductivities have smaller values in the novel relaxation time approximation and these differences between the conductivities in the said approximations are more pronounced at high temperature than at low temperature. Furthermore, all the aforesaid observables are found to be sensitive to the rotation of the QGP medium.","Sat, 2 Mar 2024 16:03:53 UTC (86 KB)"
"100","Study of identified particle production as a function of transverse event activity classifier, $S_{T}$ in p$-$p collisions","Rahul Verma, Vishu Saini, Basanta Nandi, Sadhana Dash","High Energy Physics - Phenomenology (hep-ph)","A new observable, $S_{T}$, is introduced in terms of the sum of the transverse momentum of charged particles ($\sum_{i} p_{T_{i}}$ ) produced in proton proton (p$-$p) collisions at LHC energies to probe the underlying events (UE). The UE are defined as those aspects of proton-proton collisions that are not attributed to the primary hard scattering process, but rather to the accompanying interactions of the rest of the proton. The conventional approach of studying underlying events is usually carried out by defining topological regions with respect to the leading particle in an event. The transverse region is generally sensitive to UE and various classifiers have been used to discriminate the extent of UE activity regions. The production of identified particles like $\pi^{\pm}$, $K^{\pm}$, p , $K_{S}^{0}$, and $\Lambda^{0}$ are studied in different ranges of transverse activity classifier in p$-$p collisions at $\sqrt{s} = 13 $ TeV using pQCD inspired PYTHIA 8 event generator. A comparative analysis of the identified particle spectra, mean multiplicity and mean transverse momentum has been carried out with respect to $S_{T}$ and the performance of this new observable is gauged by comparing the results with previously defined $R_{T}$ observable.","Sat, 2 Mar 2024 14:45:50 UTC (919 KB)"
"101","Strangeness plus-one ($S=+1$) resonance-state $P^{+*}_0$ via $K^+n\to K^{*0}p$","Dayoung Lee, Seung-il Nam","High Energy Physics - Phenomenology (hep-ph)","In our current study, we delve into the peak-like structure observed during the reaction process of $K^+n\to K^{0}p$ at approximately $\sqrt{s}\sim2.5$ GeV. Our focus centers on exploring the potential $S=+1$ resonance $P^{+*}_0\equiv P^*_0$ as an excited state within the extended vector-meson and baryon ($VB$) antidecuplet. To achieve this aim, we employ the effective Lagrangian method in conjunction with the $(u,t)$-channel Regge approach, operating within the tree-level Born approximation. We thoroughly examine various spin-parity quantum numbers for the resonance, resulting in a compelling description of the data, where $M_{P^*_0}\approx2.5$ GeV and $\Gamma_{P^*_0}\approx100$ MeV. Furthermore, we propose an experimental technique to amplify the signal-to-noise ratio ($S/N$) for accurately measuring the resonance. Notably, our findings reveal that background interference diminishes significantly within the $K^*$ forward-scattering region in the center-of-mass frame when the $K^*$ is perpendicularly polarized to the reaction plane. Additionally, we explore the recoil-proton spin asymmetry to definitively determine the spin and parity of the resonance. This study stands to serve as a valuable reference for designing experimental setups aimed at investigating and comprehending exotic phenomena in QCD. Specifically, our insights will inform future J-PARC experiments, particularly those employing higher kaon beam energies.","Sat, 2 Mar 2024 12:10:43 UTC (1,330 KB)"
"102","Quantum-number projected generator coordinate method for $^{21}$Ne with a chiral two-nucleon-plus-three-nucleon interaction","W. Lin, E. F. Zhou, J. M. Yao, H. Hergert","Nuclear Theory (nucl-th)","We report a study of the low-lying states of deformed $^{21}$Ne within the framework of quantum-number projected generator coordinate method (PGCM), starting from a chiral two-nucleon-plus-three-nucleon (NN+3N) interaction. The wave functions of states are constructed as a linear combination of a set of axially-deformed Hartree-Fock-Bogliubov (HFB) wave functions with different quadrupole deformations. These HFB wave functions are projected onto different angular momenta and the correct neutron and proton numbers for $^{21}$Ne. The results of calculations based on the effective Hamiltonians derived by normal-ordering the 3N interaction with respect to three different reference states, including the quantum-number projected HFB wave functions for $^{20}$Ne, $^{22}$Ne, and an ensemble of them with equal weights, are compared. This study serves as a key step towards ab initio calculations of odd-mass deformed nuclei with the in-medium GCM.","Sat, 2 Mar 2024 11:09:15 UTC (1,109 KB)[v2] Tue, 5 Mar 2024 09:47:20 UTC (1,109 KB)"
