"apUsernames","apReviewer_Date","apReviewer_Content","apRating"
"chrischanwasframed","30 October 2022","Christian Bale is a great actor who has been in a lot of great movies, but to me this will always be his best performance. Patrick Bateman is a terrible human being, but he is also fascinating. This film is probably not for everyone, they get too hung up on all of murder and blood. Which is fine, but if you can get past that, it is actually one of the best black comedies ever made, and I don't mean basketball black. The characters are all complete psychopaths, but that is why it is so funny. I think it rips Wall Street to shreds in the same way Zoolander ripped the modelling world apart. I haven't seen the film in years, but rewatching it, it definitely still holds up, it is just one classic scene after another. So many good memes. They don't make films like this anymore.","
            10/10
            "
"dillylamar","24 June 2020","American Psycho is a 2000 film directed by Mary Harron, adapted for the screen by Mary Harron, and based off of the novel of the same name. This film is a cult classic, as it's dark humor, ridiculousness, bloody violence, horror film traits, and insanely quotable moments mix well with its satire and criqie of collective identity, individuality consumerism, capitalism, and yuppie culture. Bale's breakout performance in the film is absolutely phenomenal and iconic. The main themes of the film are lack of individuality, collective identity becoming personal identity, the greed and self indulgence of those in high society, and what a psychopath can get away with in a world like this. All of the men on Wall street look and act the exact same. They are interchangeable, as are the women. That's why people constantly get names mixed up in the film, and that ends up saving Bateman. Bateman only cares about other view him. He is in a constant hunger for conformity and to be seen as better, as he ends up killing Paul Allen because he had a better business card than him. He has been killing for a long time, and has been able to maintain, but starts to breakdown. The film is about how we form a collective identity, pretty much losing our individuality and personal identity. We crave attention, material wealth, conformity and to be seen as better. Bateman does. So do the others. At the end of the film he realizes that nothing including himself really matter, everyone is the same. He is so indulged in a collective identity, that his lawyer mistakes him for someone else, obliterating his confession. No one cares that he kills people, no one even notices. He can get away with anything, even if your a serial killer/psychopath. because he has sold himself a collective identity. He puts value into material things like restaurants, suits, watches, cards, and apartments. He listens to cheesy pop music because its trendy, but much more value into it, than it really holds. He views the homeless and lower classes to be less than him, he just kills them. In this type of high society, the people lose their individuality and distungishable traits, and just become greedy, power hungry, emotionless, interchangeable and unoticable nothings. The only difference between Bateman and his banker colleagues, is that he kills people. But everyone is so wrapped up in themselves and collective identity, that they dont notice. Bateman sees women as meat or objects, and men as something to be better than.At the end of the film, after his breakdown, Bateman realize that he and everyone else he knows is meaningless, interchangeable, and that he can get away with anything. He can Indulge in his murderous hunger all he wants. He presents himself in the collective identity, fitting in losing all sense of self. It will go on. He becomes more and more hungry and uncontrollable and his private life becomes integrated into his professional, and he realizes that he take it, and get away with it, there is more to take. Don' become a Patrick Bateman. He craves to stand out and be better. His view of himself is skewed by his psychosis, inflated ego and sociopatheology. His fantasy and reality become jaded, mixed, and goes insane because he can't really tell the difference. His killings all happend, but some are partial truths, or over aesthetically elaborate type chainsaw massacre killings. He so disconnected and detached from reality.","
            8/10
            "
"bregund","23 February 2003","This review contains spoilers.This movie doesn't know what it wants to be.  It's too serious to be a black comedy, too gruesome to be a comedy, too funny to be a drama, too narrow-mined to be satirical, and too broad to be a character study.  In short, American Psycho takes the middle road so often that the end result is a weak, ineffectual film that promises more than it delivers.Just in case you don't know that this film takes place in greed-driven 1980s (oh right, like the 1990s internet explosion had nothing to do with greed), gigantic cordless phones, 1980s music, power suits, whitewashed Malibu walls, and odd menu choices like `sea urchin ceviche' are jammed into your senses.  With all of these blatant era-placement devices, you just know that during the writing of the script someone must have quipped about `instant culture immersion via baseball bat.'  I'm surprised they didn't stick a Neiman poster on the wall.  By the way, why aren't any of the women actors wearing those huge shoulder pads that were so popular in the 1980s? 
Christian Bale, as the yuppie Patrick Bateman, is pretty good in this otherwise vapid film.  The men are broadly-painted cliches of the typical 1980s ivy-league archetype:  snotty and oily-haired, with mannerisms akin to those of car salesmen or insurance agents, engaged in a culture of their own that we as viewers are supposed to ridicule, not just because it is the 1980s but because they were born priveleged, have nicknames like `Biff', and will someday die not in a smelly hospital but in the comfort of their own home on a four-hundred-year-old poster bed attended to by a private nurse.Several things don't make sense:  when the prostitute ran screaming down the hall, pounding on doors, why didn't any of the residents open their doors? Why don't we ever see Bateman doing any work instead of just listening to music or going to lunch?  How could you kill someone with a nail gun?  And just what happened at the end, was Paul Allen alive or dead?  I don't understand this film at all.This film is as pretty and sterile as Patrick Bateman's condo, and, like much of the 1980s, offers little substance.","
            4/10
            "
"damianphelps","23 December 2020","Ellis and Bale combine to make an exceptional film unlike anything before or since its release.
Dynamic, crazy, brutal and sometimes funny, American Psycho is like being dragged into and elevator and being beaten except you can't see who is doing it.A vey well put together movie that yet again showcase the brilliance of Bale.","
            10/10
            "
"Thanos_Alfie","21 August 2013","Christian Bale makes a really good performance in ""American Psycho"" movie which is really outstanding. I could tell that this performance of him it could be one of his best, and one of those would make us expect even more from him.""American Psycho"" has to do with a wealthy New York businessman who brings to the surface an another person, a psychopathic. In this movie we can observe the differences between these two people (a wealthy businessman and a psychopathic) and compare these. We can also observe how they feel, how they think and what are the things that they want and like to do.","
            10/10
            "
"matt caccamo","21 December 2000","Gruesome, unredeeming thriller of a young, egotistical, brash businessman who poses as a serial killer in his free time.  Meant to be a scathing critique of 1980s male business culture but ends up looking more like a lame ""Saturday Night Live"" skit.  Bale, in lead role, is over-the-top and ridiculous; tries to be Tom Cruise instead of character in the movie.  This is a film that had promise only to get bogged down in stupidity.","
            10/10
            "
"Jeremy_Urquhart","23 July 2022","Revisited this for the first time in many years. It's always been a film I've liked without quite loving, but my appreciation for it's grown, and I like it more now than I remember. Of course, watching it in 2022 vs 2011, there are now so many (mostly ironic) memes surrounding the movie than there used to be, so you have to try and put them out of your mind as much as you can, otherwise it's hard to take any of it seriously.Not that it should all be taken seriously of course. I think American Psycho works best if you treat it as an extremely dark comedy over anything else, as it's the satirical elements that work the strongest. It does get funnier and more biting as a satire if you believe most of the murders are fantasy. On previous viewings, I thought the majority weren't imagined, but now I reckon most of them are. And the point of the movie is likely ultimately that even if Bateman never literally killed anyone, he's still an ""American psycho"" and all that either way.What's always been great about this movie is Christian Bale, of course, and it might be his career best performance. It's also a very entertaining movie, and despite not having a traditional, concrete plot, it's paced well and always feels like it's going somewhere. I will say, regardless of what you believe to be real or imagined, I think it ends a little suddenly, and it's a shame Willem Dafoe doesn't have a final scene towards the end (it feels a bit jarring), but overall, still a strong movie, and a deserved cult classic.Now, if you'll excuse me, I have to return some videotapes.","
            9/10
            "
"liorkorobeynikov","13 September 2022","As I stated in the title everything that is needed to make a great movie is present in American Psycho yet I still gave it a six- it's a good and worthy film but it's missing something to be really great.The performance by Christian Bale in this film is remarkable, he deserves all the credit for perfecting a very difficult role.The movie itself has a lot of underlying meaning in it about our society, mental illness and so on and pretty much everything is well done but I still think there's that magic missing that just makes a good film into a great one.It has been sadly romanticized by some people and given a bad image but the movie itself doesn't share anything related to that.","
            10/10
            "
"Bored_Dragon","18 November 2019","Bale, as always, has fantastically laid out the role, and his every film reinforces me in the belief that he is one of the best, if not the best actor of his generation. But despite this genius in the lead role and the technical qualities of the film, ""American Psycho"" left me completely indifferent, because the story is totally lame.6/10","
            10/10
            "
"gianmarcoronconi","13 September 2021","Crazy and delusional film about the total psychological breakdown of a man who was not well before and who is now even worse because everything he did has collapsed on him. Bloody and in its own way funny and creepy movie.","
            10/10
            "
"jaredmobarak","2 August 2008","Oh, the 1980's, such happy times. Excess in full force, younger upstart yuppies making money that they could only imagine as children while doing as little work as possible. When did going to lunch, out to dinner at restaurants booked for months in advance, and vying for the biggest ego constitute an occupation worth six figures? Only in America. Bret Easton Ellis' novel was looked upon as very demeaning to women in its portrayal of these masochistic males using their girls as trophies and toys, so who better to adapt and direct a feature of American Psycho than a woman such as Mary Harron. Her film version is a satire on society's fall to materialism and conformity, showing how along with the money and power comes a way of life that is unavoidable. Our lead, Patrick Bateman at one point tells his girlfriend that he is trying to fit in. He is catering to the image of masculinity and success despite his urges to break free into his own lifestyle of gratuitous sex and violence. He says early on that Patrick Bateman doesn't exist, he is an empty face hiding the darkness underneath, the scheming and desire to live on the fringe of society and be able to get away with it amongst the self-absorbed snobs running around blind to anything but themselves.The story hinges on the devolution of humanity for Bateman as the vapid existence he lives becomes too much to handle. Everything in his world is superficial, from his girlfriend, to his lithium-using mistress, to his meaningless job and his need to look and live better than his peers. One of the best scenes comes from a comparison of business cards and whose is more subtly beautiful due to the whiteness of stock and uniqueness of font. Each card is identical to the layperson, but to these men, obsessed with appearances, they couldn't be more different and inferior. It is such a cookie-cutter lifestyle that no one even knows whom each other is. They will call ""friends"" by the wrong name and then proceed to talk about how much of a reject the person they are actually speaking to is, unknowing they are insulting them to their face. It is one thing to allow the mistakes to happen, it's another to revel in it and pretend to be that other person, because really, what is the difference? Both wear the same suits, have an affinity for the same glasses, and get their hair cut at the same salon.Because of this duality in identity, Bateman is given a carte blanche to live out his dark fantasies at night. If people think he is someone else when he is raping and murdering people, he is able to live without risk of being caught. Heck, he doesn't even need an alibi because his friends are 100% positive he was out with them the night he was committing heinous crimes. Between the drugs and carbon copy personas, no one knows who they are let alone who they are with. Therefore, Bateman can do whatever he wants, and does. He lives in his own world, waxing pontifically about asinine drivel before going in for the kill.I don't think anyone could have pulled this role off besides Christian Bale. His demeanor is so likable that no one would think twice about feeling safe with him. As a model he meets and later dispatches says, ""there is something good about you."" Even when in rage, he retains his smile and jovial attitude, praising Phil Collins' talent for bringing Genesis out of their arty funk and Whitney Houston for four of the greatest songs ever written on her album appropriately titled Whitney Houston. The way his delivery makes the most benign topics jump out at you is amazing and when the blood splatters onto his face, you can't help but laugh through the carnage. No other film will make you see the humor in serial killing for sport. All Bateman does is what we fantasize about everyday, breaking free from the monotony and acting on our impulses to punish the stupid and the weak. As he tells a homeless man before killing him, ""why don't you get a job?"" It's the man's negative attitude and laziness that prevents him from succeeding in life. This is a time of self-pride and preservation, albeit an excess of said pride, that allows everyone to look at themselves as God. Even a diatribe about the troubles in South Africa and the US with poverty comes off as staged and humorous. Not because Bateman feels these subject are more relevant than Sri Lanka, but because he really doesn't care about any of it.Shot beautifully with many static frames focusing on the person's face in action rather than the activity happening around them, American Psycho is gorgeous to behold. The stark sanitation of everything: clean apartments, pristine bodies, and impeccable dressing style counters lovely with the chaos that Bateman brings from his bloodlust.It is Leto's disappearance that lends to the fact of whether what we see actually happens. Did Bateman kill him and continue with his atrocities afterwards or did Leto really go to London, where people had lunch with him, and the murder was just imagination? No one can ever really know since no character ever knows whom it is they are talking to. Perhaps those who saw Leto really saw others who pretended to be him mistakenly, or maybe he was there still alive and breathing. This is the confusion with insanity and chaos, one can't tell the difference between truth and fiction; the line blurs to infinity. American Psycho could be a tale of the psyche or a story of murderous rage left unchecked, it's really up to you to decide.","
            10/10
            "
"akulier","9 August 2000","This movie is sick, pointless and utterly boring. Its ""message"", if any, is as shallow as the life it pretends to criticize. No significant plot, substandard actors. Director, go back to film school and watch Stanley Kubrick who knows how to depict senseless violence!","
            2/10
            "
"Allen Menton","23 December 2002","one of the worst films I've seen in a long time.  It's never quite hallucinatory enough to be surreal; never quite cartoonish enough to be funny; never plausible enough to be taken seriously; and the acting is the worst I've ever seen from Christian Bale.  Sadly, this film also wastes the talents of Sevigny & Witherspoon.   I guess this was meant to be a dark satire on the Reagan years, but it failed utterly.","
            7/10
            "
"billcr12","5 August 2021","Christian Bale plays a Wall Street Yuppie with a perfect American accent and has some extremely funny and sarcastic lines as he dispatches with an assortment of hookers, co-workers, and civilians in the wrong place at the wrong time. This is horror-satire at its finest. The ending is a bit of a disappointment but overall I was thoroughly entertained.","
            8/10
            "
"war_cat2","12 October 2000","This was a great movie that only a small handful of people might be able to fully appreciate.  Without going into to details and saying how much I could relate with Patrick Bateman (thereby saying I'm some kind of psychotic killer), let's just say the movie has very intense moments of craziness, yet terrifyingly believable.And Patrick Bateman was right, 'The Greatest Love of All' was Whitney Houston's most powerful song on her debut album.","
            10/10
            "
"ammar-sultan","5 January 2020","This isn't clever writing.. this is Dysgraphia.. I think the writer himself didn't know where he was going with this.. so at the end he just panicked and came up with this stupid ending so he can finally finish the damn thing and get on with his life..
Yeah & BTW this is my favorite genre of movies and I was saving this movie for a special day.. just so nobody thinks I started watching it thinking it was a slasher/grindhouse type of film. There's a right way and a wrong way of telling these kinds of stories.. and there's a fine line between the two where you might just ruin it and lose the audience.","
            7/10
            "
"uhudsavascisi","18 August 2023","American Psycho is a film directed by Mary Harron and adapted from Bret Easton Ellis's novel of the same name. While critiquing the shallow consumer culture of the 1980s, the film unveils the inner world of its main character, Patrick Bateman (Christian Bale). Patrick appears as a typical white-collar investment banker in New York, masking his true nature as a psychopathic serial killer.The film sharply criticizes the emptiness behind the flashy and luxurious lifestyle, the superficiality of human relationships, and Bateman's disconnected state from reality. Beneath Patrick's flawless appearance lies a lack of empathy and emotional insensitivity towards others. His perverse inner world is expressed through gruesome murders and deranged rituals.The film engages viewers in a profound contemplation as they attempt to comprehend Bateman's madness and the dark side beneath his seemingly normal life. The camera closely follows Bateman's mental breakdown, often blurring the line between reality and hallucination. Bale's acting effectively portrays the character's internal conflicts alongside his cold-blooded murders.American Psycho serves as a sharp critique of the corrupted reflection of the American Dream, targeting the frenzy of consumerism and the loss of humanity. Through visual and symbolic storytelling techniques, the film presents Bateman's complex mind, filled with psychopathic thoughts and impulses, delivering an unsettling experience to the audience. Harron's directorial skills combined with Ellis's story create an extraordinary psychological thriller.In conclusion, American Psycho is a striking film that exposes the dark truths beneath the surface of shallow living and the conflicts within an individual's psyche. Patrick Bateman's madness and the decay of society serve as a mirror, provoking thought and shaking viewers by reflecting the depraved aspects of the modern world.","
            3/10
            "
"Reviews_of_the_Dead","12 December 2019","This film I originally saw in college when one of my buddies put it on. I had no idea what it was and was just shocked with what I saw in such a good way. I think I've seen it a few times now and just now fully starting to understand it all. I had some theories, but it really took listening to others thoughts as well as those who have read the book for me to think I finally get everything. The synopsis is a wealthy New York City investment banking executive, Patrick Bateman (Christian Bale), hides his alternative psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonist fantasies.As it states, we follow Patrick who we never actually see do any work. He is engaged to marry Evelyn Williams (Reese Witherspoon), but he doesn't love her. He actually has no emotion, as he states himself. He admits to really just going through the motions of trying to be human, but aside from flesh, blood and looking that way, he doesn't feel emotion aside from disgust and greed.He has a close group of friends of Timothy Bryce (Justin Theroux), who Bale believes is sleeping with his fiancé. They also hang out the most together, doing a lot of drinking and drugs. There's also Craig McDermott (Josh Lucas) as well as David Van Patten (Bill Sage). They all work together at the same firm. Another guy they work with is Luis Carruthers (Matt Ross). He is odd and he is engaged to marry Courtney Rawlinson (Samantha Mathis). She is having an affair with Patrick though. This group of people goes out to eat all the time at fancy restaurants, drink and do drugs, living a rich lifestyle, but all of them are out of touch with reality. The four men who hang out together are sexist and definitely pretentious.Patrick tells us he's losing the mask of sanity. What doesn't help is his encounters with Paul Allen (Jared Leto). The first is that we get an odd measuring of ego by comparing business cards. Patrick then goes out to dinner with Paul, but he thinks that Patrick is actually someone else the whole time. It takes a dark turn when Patrick kills him with an ax.This brings him into contact with Donald Kimball (Willem Dafoe), a detective who is looking into the disappearance of Paul. Patrick is becoming more and more unhinged and has less control over his actions. The issue becomes though, who is Patrick Bateman and are what we seeing real or just in the mind of a psychopath?As I've said now that I've seen this film a few times, I can see some interesting things that this film is addressing. The first is I've heard some people contend this is not a horror film. I most definitely feel that this falls into that category. We first have a psychopath that is on the edge of sanity that is going around killing people. Not all of this is done on screen, but it just has that dark feel about it. Seeing Patrick as he slips into madness is really something that is enjoyable.From here I want to shift to the interesting idea that all of these male characters are pretty much the same person. Of course, they're not. We can see that each one of them is different, but none of them really have an identity. This last viewing was in the theater with my girlfriend and she pointed out that they all look the same. They all want to do the same exact things and it is really just showing they are a stereotype of these people from the 1980's and really have no personal thing to set them apart.That moves to the point where since they're all so similar, no one can tell each other apart. Of course Patrick, Timothy, Craig and David all know each other, but Paul thinks that Patrick is someone else. Patrick talks to his lawyer at the end and thinks he's someone else and even thinks he went out to dinner with Paul. To take it farther, they're all sleeping with each other's fiancés and none of them seem to care about that either. They're just maintaining a lifestyle that they think they should. The final thing about them is that they're horribly pretentious as well as misogynistic.I want to shift to this to the acting and going to have just a paragraph here dedicated to Bale. His performance here is unreal. I like that he does so well at showing at first how much of a sociopath that Patrick is. It is a lot like watching the show Dexter that came out after this, in that they both know they're really just doing what they can to get by. Seeing Patrick as the more he kills, the more he loses control. But in the end, we don't know if what he's done actually happened or not. I'm going to have a spoiler section at the bottom as to what I think happens here.As for the rest of the acting, I think that Theroux, Lucas and Sage are all solid. They do well at pretty much mirroring each other which I dug. Chloë Sevigny has an interesting role as Jean, Patrick's secretary. She is attracted to him, which is fitting since she's into men who are available and just wants to be part of this world. Witherspoon and Mathias are also mirrors of each other which works. I have to a lot of credit to Dafoe, he's so good here. I love that his scenes were filmed with three different expressions of Kimball thinking Patrick didn't, thinking he's innocent and one of just not knowing, then just splicing them in to just make Patrick seem that unnerved when trying to read him. Ross, Leto and the rest of the cast rounded this out for what was needed.That will shift me to the pacing of this film, which I think is good. It has a run time of around 100 minutes and to be honest, it doesn't feel like it. We just move through this descent into madness as it gets worse and worse. Seeing that no one around him really knows him makes it that much worse. Much like his descent, his acts of violence get progressively more aggressive as well. I really dig the ending and the implications of everything that we get there. It is both terrifying and kind of sickening as well.The effects are really good. This isn't necessarily a gory film as a lot of what happens is off screen. What we do get though is blood that looks pretty real. We get to see some bodies, but only for a glimpse which works. The tension is built through seeing the build up and just how Patrick has no real touch with reality. It is shot very well to convey this also.The last thing to cover here would the soundtrack. I love that Patrick is a connoisseur of music from the era. It seems out of place with the things that he's into, but he has dissected it in such a way that it is surgical. How he describes these songs before he commits violent acts is wonderful in bringing not only horror, but dread as well. I think that the score fits for what they needed for sure.Now with that said, the more I see this film, the more I appreciate it. There's such a great character study of someone who seems to have it all, but has no touch with reality. Bale's acting in bringing Patrick to life is wonderful. He's accompanied by a solid cast as well. It is paced in a way where I don't find it boring and the ending is just great. The effects are really good, even though we necessarily don't get a lot. The soundtrack fits for what was needed. This is a film that really does benefit from multiple watches to really piece together everything that we are seeing here. This definitely a film I find to be great for sure. I would recommend to horror and non-horror fans alike to give this one a viewing for sure.My Rating: 10 out of 10SPOILERS:Now what do I think happened. I think that Patrick murdered Paul as well as some of the other girls that he brought home including Christie (Cara Seymour) as well as Elizabeth (Guinevere Turner). I do believe the homeless man we see early on was murdered as well. Kimball is coming around to investigate the murder. I think though that the rampage Patrick goes on late in the film isn't really happening. He thinks he kills all those people, but he's just panicking and ends up back at his office. What works in his favor is that no one really knows anyone else, so his lawyer really does think he's someone else much like Paul thought he was someone else. I do think there really are murders is when they're showing Paul's apartment, the lady there has a look of dread and tells him to leave. Since it is an expensive place, they're covering it up as well. Patrick is going to get away with it for now since no one really knows who he is, including himself.","
            9/10
            "
"jessicalpeter","11 January 2019","Christian Bale's acting was very good, and the rest was just boring. If you want to watch a yuppie sociopath monologuing for an hour + (and sometimes killing folks), it's the perfect movie. Unfortunately I found it remarkably dull. With a confusing vague ending to cap it off, this will not go down as one of my favourites","
            3/10
            "
"Movie_Muse_Reviews","29 September 2008","Welcome to the mind of Patrick Bateman: Wall Street broker, fine diner, playboy, oh and serial killer extroadinare. Bateman claims only part of himself is based in humanity and similarly, only part of this film is based on reason or sanity.""American Psycho"" is easily one of the top five most deranged films of all time. Those with a taste for the bizarre and an interest in the abstraction of realism will find it great, those who prefer movies grounded in, well, something, will at the very least be amused by the perverse nature of the plot and Bateman's psychotic character.Christian Bale does some pretty great work with Bateman, giving us a very dissociative identity look to the clearly insane killer, showing him as very cold and crafty while also emotional and irrational. His character jumps all over the place and Bale really has the look and skills to play all those kinds of characters.I have to say that while I like Mary Harron's visual choices with the film, overall I don't know if we got deep enough into the meddle that is this plot and the cavernous mind of Bateman. The thin line between reality/imagination, sanity/insanity is very clear, but the social commentary is sort of overshadowed by the film's taste for the absurd. I definitely think there's richness, but there is a lot of thickness too.I suppose if you come at this film with a more abstract perspective than a desire to sort things out and make sense of them, you'll find more things to enjoy about the film other than Bateman's philosophical conversations about sellout recording artists while he indulges in one fantasy or another. It's strange, and while strange is good, strange also needs to be handled a bit more thoughtfully than in ""Psycho.""","
            1/10
            "
"morfeus","11 December 2006","Do you like Mary Harron?Her early work was a little too TV for my taste, but when ""I Shot Andy Warhol"" came out in '96, I think she really came into her own, commercially and artistically. In 2000, Mary Harron released ""American Psycho"", her most accomplished movie. The whole movie has a clear crisp '80s look, and a new sheen of social satire, which really gives the movie a big boost. In terms of writing craftsmanship, the sheer scriptwriting, this movie hits a new peak of professionalism. The movie is so catchy, most people don't even try to understand the meaning, because it's not just about the pleasures of conformity, importance of trends, hollow yuppie lifestyle and murders, but it's also a personal statement of a director herself!Do you like Christian Bale?I've been a big Bale fan since the release of his '94 movie ""Prince of Jutland"". Before that, I really didn't understand any of his work. Too artsy, too intellectual. It was on ""Prince of Jutland"" where Christian Bale's presence became more apparent. I think ""American Psycho"" is Bale's undisputed masterpiece. It's an epic meditation on intangibility. At the same time, it deepens and enriches the meaning of the preceding movies. His acting is as positive and affirmative as anything I've seen in any movie. The brilliant ensemble of other actors makes ""American Psycho"" great,great movie, a personal favourite. You can practically sense the empathy between Bale, Justin Theroux, Josh Lucas, Jared Leto, Reese Witherspoon and Samantha Mathis.So, to sum up, the movie is extremely uplifting, it shines with hope that it's not too late to better ourselves, and contains a crucial message - since it's impossible in this world we live in, to empathise with others, we always empathise with ourselves. It's beautifully stated in the movie. And now excuse me, I have to return some videotapes.","
            8/10
            "
"freemantle_uk","24 January 2010","American Psycho was based on a successful novel, which led to being a film with a cult following. It is the most successful film of Mary Harron's career, and Christian Bale's first lead role as an adult actor.Patrick Bateman (Christain Bale), is a very rich, successful 27-year-old man working for a major Wall Street investment company. He lives in a nice apartment in the Big Apple, physically very fit, hansom, has a organized routine, and is completely insane. He lives the high live of an executive, fancy restaurants, beautiful women, recreational drugs, etc... There is an even darker side to his world, involving affairs, prostitution and of course very violence murder. His blood lust starts to increase and can't content himself. He murders tramps and prostitutes, he suffers from extreme anger and envy. He murders Paul Allen (Jared Leto), another successful young man: his disappearance is investigated Detective Kimball (Willem Dafoe). Patrick's mind starts to decline.This film is more surreal then I expected. It reminded very much of A Clockwork Orange and Taxi Driver, both classics, but looking at the upper end of society, not the working class. It does show a man who mind does break down and his looking for an identity in a hollow world. It is a satire of the high-powered 80s New York. It has a strange dark humour in places that works.Of course this film has a great cast. This is the film that made Bale's adult career. He has a great performance as a psychopath and shows his talent. I particularly enjoyed the scene when he murders Paul Allen where he was like Jim Carrey. Jared Leto only has a small role but is good as he normally is. So was Cara Seymour as a prostitute who is brought into Patrick's corrupted world.Harron directs a very violence, but this isn't torture porn like Hostel or the Saw films. There is reason behind it, and she only shows what she has to. She shows that she has a competent hand behind the camera and a decent art-house director. She handles the mix between reality and fantasy, leaving the film to be very ambiguous.A decent watch.","
            7/10
            "
"furkancopur","28 November 2019","After heard so much about this movie, I was really disappointed. It was a shallow story of an eccentric leading character. However, a physcopatic, handsome, rich, serial killer character is not sufficient to make a good movie. At the end, all of them was just a fantasy, what a suprise, but it is not enough to save the movie.","
            7/10
            "
"dylanwhaley","21 February 2021","Christian Bale deserved every award. The writing is so funny, witty and creepy. Its so quotable!","
            8/10
            "
"riyanprayoga-92901","31 May 2023","I live in the American Gardens Building on W. 81st Street on the 11th floor. My name is Patrick Bateman. I'm 27 years old. I believe in taking care of myself and a balanced diet and rigorous exercise routine. In the morning if my face is a little puffy I'll put on an ice pack while doing stomach crunches. I can do 1000 now. After I remove the ice pack I use a deep pore cleanser lotion. In the shower I use a water activated gel cleanser, then a honey almond body scrub, and on the face an exfoliating gel scrub. Then I apply an herb-mint facial mask which I leave on for 10 minutes while I prepare the rest of my routine. I always use an after shave lotion with little or no alcohol, because alcohol dries your face out and makes you look older. Then moisturizer, then an anti-aging eye balm followed by a final moisturizing protective lotion.","
            7/10
            "
"meeza","6 November 2000","I am being serious or should I say serial when i say that `American Psycho' will be one of the best films of the year. Oh my christ! I almost forgot- It also has one of the best acting performances of the year from Christian Bale. This dark, but yet, brilliant film is about an 80's yuppie who moonlights as a disturbed serial killer. Bale's star-breaking performance should ring bells to oscar voters when they decide the best actor nominees. Director Mary Harron's  unique style of craftsmanship was right-on. Also, you will not hear a more creative screenplay in a film this year  especially in the scenes when Bale's character is describing his version of 80's musicians societal insights as he is nonchalantly murdering and seducing his preys. The `hip to be square' scene is one of the best of the year- so spread the news. Hopefully, I have said enough to have `psyched' you up to go watch this flawless film. ***** Excellent","
            10/10
            "
"questl-18592","13 November 2019","This is one of those movies that I feel like hits me differently every time I watch it. As someone who just graduated to a proper adult career, watching this exec's spiral into corporate madness feels oddly surreal. The comparison over the business cards, the decision on a restaurant. I feel like my office is going to break out into a heated ""who has the best pen"" discussion any day now.Obviously, this is all dialed up to the Nth degree in American Psycho and I love it for that. I also love the way it plays with ambiguity so much. Any movie that can effectively leave me questioning what was real and what wasn't is going to get some points and this succeeds in that so well.","
            9/10
            "
"readmydude","25 March 2022","You like Patrick Bateman and American psycho? The apartment scene was a little too nude for my taste. But when The business card came out , I think it really came into their own, commercially and artistically. The whole movie has a clear, crisp plot, and a new sheen of consummate professionalism that really gives the story a big boost. He's been compared to Ted Bundy, but I think Patrick has a far more bitter, cynical sense of humor. Towards the end the producers released this; The chainsaw scene!, their most crazy scene. I think their undisputed masterpiece is ""Paul Allen's murder"". A dialog so sinister, most people probably don't listen to what he's saying . But they should, because it's not just about the pleasures of conformity and the importance of trends. It's also a personal statement about Patrick itself. Hey Paul!","
            8/10
            "
"MichaelOates","14 March 2004","If there was one positive statement I can make about ""American Psycho;"" it would be that it was over in two hours. Aside the fact that it was over in two hours ""American Psycho"" featured a great performance given by Christian Bale due to the Dr. Jekyll/Mr. Hyde persona. Bale suavely did his thing at night to get his craving.While I hated ""American Psycho"" with a passion, I thought Christian Bale should get credited for his performance as the devilish, sly, cunning, smooth talking and clever Patrick Batemen. I can't say much for the performances of the rest of the cast because they were beyond awful, they were a waste of time ad expense for the producers and directors.","
            8/10
            "
"michaelsibley416","25 August 2004","If there was one positive statement I can make about ""American Psycho;"" it was over in two hours. Aside the fact that it was over in two hours ""American Psycho"" featured a great performance given by Christian Bale due to the Dr. Jekyll/Mr. Hyde persona. Bale suavely did his thing at night to get his craving.While I hated ""American Psycho"" with a passion, I thought Christian Bale should get credited for his performance as the devilish, sly, cunning, smooth talking and clever Patrick Bateman. I can't say much for the performances of the rest of the cast because they were beyond awful, they were a waste of time ad expense for the producers and directors.","
            8/10
            "
"elizabeth_777","9 November 2021","I loved this movie. The tension throughout the whole thing and the acting was incredible. The ending left me confused, but i liked that. One of the best horror films of the early 2000s.","
            8/10
            "
"aidanratesmovies","7 November 2019","Fit with a well executed script, masterful directing, and a wild sense of entertainment, American Psycho is truly a one of a kind work that is bound to be a thought provoking classic. Christian Bale as Patrick Bateman is one of the best performances of the decade, and far deserving of the Oscar he didn't even get a nomination for. The story is well executed, and by far well written with a tight sense of atmosphere and direction that perfectly builds on suspense and tension in more interesting ways than one. The film does seem to struggle to find a conclusion, but provides some interesting commentary on society and the business world in general, that is by far thought-provoking. In the end, however, the film is uniquely different in more ways than one. It's tight and uncomfortable atmosphere and interesting and provocative script make for not only an enjoyable movie but one you won't easily forget.
My Rating: 9.3/10","
            1/10
            "
"bestdude-21875","25 December 2021","Patrick Bateman is giga chad and a sigma male, and he is the most based human being ever. All hail his baseness Patrick batman. Based + sigma male + Patrick Bateman better + he is also batman + ratio + counter ratio + I'm based and you're soy wojak.","
            8/10
            "
"simonfolka","12 October 2020","Simple review here, i wish i could go back in time and get those 101 minutes back!","
            9/10
            "
