"bttfrUsernames","bttfrReviewer_Date","bttfrReviewer_Content","bttfrRating"
"ElMaruecan82","3 October 2011","With a gentleness delicately lying beneath a smart and intelligent script, contributing to this extraordinary appeal that transcends every age barriers, ""Back to the Future"", in the same vein than its glorious predecessor ""It's a Wonderful Life"", is one of these heart-warming masterpieces that definitely stood the test  of time.There is Michael J. Fox and Christopher Lloyd's improbably pairing as Marty McFly and Doc Emmett Brown, the cool 80's teenager and the mad scientist, yet the chemistry is here, and we believe that these guys can be great friends. There is this unforgettable sight of the De Lorean at 88 mph disintegrating in a flash of light, leaving the two unforgettable fire trails. There is this heart-pounding climax on the clock tower driven by Alan Silvestri exhilarating 80's-defining score. There is this heart in the story. As the pillar of the movie's greatness there is Bob Gale and Zemeckis' winner script.""Back to the Future"" deserves its reputation as one of the most quotable films ever and with the richest gallery of colorful characters each one impacting our memories with so many delirious catchphrases, from Biff Tannen's ""Butthead"" to Marty's ""This is heavy"" and of course, Doc's hysterical ""1,21 Gigawatts!"" or ""Great Scott"". Christopher Lloyd has this unique talent to revive the mad scientist figure with a likable dimension, creating one of the most eccentric and sympathetic characters from the flamboyant 80's. But the power of the script doesn't just rely on its 'destiny' in one-liners, but in the way it rigorously respects the codes of every genre with a new remarkable technical precision.""Back to the Future"" is a masterstroke of originality in the way it adapted the 'adventure' genre, where the exoticness of the setting doesn't rely on its geographical but chronological aspect. Marty lives in a weird world where people don't know what a Pepsi Free or who John Kennedy are, and where Ronald Reagan is still ""the actor?!"". The adventure aspect provides some of the best gags of the film. Now to the Sci-Fi, from the simple premise of the film: time travels, Zemeckis refreshed an old scientific speculation by introducing the notion of ripple effect, that the smallest change in the past can have significant consequences for the future, for the better or for the worse. Finally, a movie had the right approach to time travels, probably earning it a deserving place in AFI's Top 10 Sci-Fi films.This scientific approach conditioned Marty's mission in 1955, by preventing his parents from meeting and falling in love, Marty unknowingly jeopardized his own existence and of his siblings. The script outsmarts us through its ability to convert one thousands words into one simple image, Marty's picture with his brother and sister and the progressive fading of their bodies, cleverly illustrates Doc's notion of ripple effect. No need of words, the picture is the materialization of the success or the failure of the mission. And as long as Lorraine (Lea Thompson), is in love with her future son, the existence of her future children with George is severely compromised.What a tricky dilemma! And when you discover Marty's family in 1985, you wonder how such a loser as George McFly (Crispin Glover) could have had a woman anyways. And Marty made the thing impossible again by replacing his own father on his to-be mother's heart. And Lorraine, by falling in love with her own son, creates a whole oedipal situation that, beyond the laughs, offers a very interesting perspective on the perception we might have toward our parent's youth, as we finally realize that they were young once. Of course, no one would dare to question how he would react if his own mother fell in love with him, but the way this is handled in the film is tactful and never fall into caricature.This is the very aspect that makes ""Back to the Future"" a Family Comedy, with a heart beating for every generation, a film you can enjoy with your parents your buddies or your kids whether it's from the 50's or the 80's nostalgic value. Most of the film's humor relies on the 'generation gap' factor and the way things have changed a lot or not so much. Compare Lorraine's advice to her kids in 1985 and the way she behaved thirty year earlier. See poor Uncle Joey who might get used to his bars as a baby, Biff Tannen's same stupid jokes etc. The film cleverly underlines the effect time can have on our perceptions and relationships with people. But the beauty of ""Back to the Future"" is that the heart of the Family story and the entertainment from the laughs combined with the speculative imagination of Sci-Fi contribute to a new inspirational dimension.Time travels represent the final opportunity to domesticate time, and to get a second chance. George gets a second chance and Marty learns one lesson or two during his journey while applying the fatherly advice he gave to his own father. And even more powerful is the way George would ultimately be the one to win Lorraine's heart and not through Marty's intervention, proving that sometimes, a simple act of bravura can change all your life for the best. Similarly to ""It's a Wonderful Life"", the film is about getting a second chance, about life, about time passing  And I can't go on without mentioning the most extraordinary moment of the film that would eternally ring bells of joy in my heart when George finally kisses Lorraine and in all of sudden, Marty who was progressively fading gets up and sees his brother and sister finally reappear in the photo. Mission accomplished! And two young people dancing, ignoring, but we do, that they'll be forever together. An extraordinary moment that for me, summarizes the cherished place this film will occupy in my heart, for a long ... time.","
            10/10
            "
"KineticSeoul","28 May 2014","If you wanna watch a very intelligent time travel movie, this one isn't it. However if you wanna see the beginning of a fantastic, adventurous yet well interwoven, grafted and entertaining time travel trilogy this one is the ticket. The thing that makes this movie stand out and endure the test of time is the classic elements that makes a movie such as this memorable with likable characters. And a mission you actually care about as the audience members. Michael J. Fox is just great a Marty McFly who may seem like a typical 80's main teenage character, but there is certain aspects about him that makes him a cool and stands out from the rest. Maybe it's his capability to stand up to bullies even if he is smaller in stature. While also having the courage to follow his dreams and how he conducts himself, despite his flaws of not being able to turn down a challenge. But Christopher Lloyd is the guy that just plain downright nailed it as the wacky scientist Dr. Emmett Brown. Even when it came down to the main villain Biff played by Biff Tannen, who is basically a generic bad guy of this trilogy, but certain elements makes him kind of a stand out villain for me. Maybe because you can see different versions of him, even if he is the bad guy all the way through. Watching this movie was like watching a Jerry Bruckheimer movie with a touch of Spielberg's elements, except this trilogy will go down as a classic trilogy. This may seem like a typical 80's movie from the surface, but it has a lot of elements that makes it brilliant. It's difficult to describe in words, but this movie, this trilogy just works and will stick with you. When it comes to the story it's actually very simple, but sometimes the simple aspect of a film makes it more worthwhile sometimes even if it deals with time travel. Watching this even now I can understand why a movie like this can be a timeless classic and give kids a colorful imaginative ideas. I for one tried to build a time machine with my brother when we were younger after watching this movie and had a blast! 9/10","
            10/10
            "
"Marx_Bros_Fan86","18 July 2008","The majority of 80's comedies have aged very poorly. They are not all necessarily bad, but they have a distinct 80's feel. This is not as much of a problem with Back to the Future, probably because a large part of it does not take place in the 80's! Although it does have more of an 80's feel than its sequels, I think Back to the Future will be enjoyed by audiences for many more years to come. The film has a wonderful blend of comedy, science fiction, and action so that it works on many different levels. Robert Zemeckis and the crew were able to create a perfect 1950's atmosphere, with great sets, 50's music, and 50's television shows.Marty McFly's (Michael J. Fox) friend Doctor Emmet Brown (Christopher Lloyd) invents a time machine out of a Delorean (a perfect choice for its futuristic look). Marty travels back to the year 1955 and accidentally prevents his father from meeting his mother, endangering his own existence. He must enlist the help of a younger Doc Brown to repair the time machine and get his parents together before he literally disappears! Things go awry when Biff (Thomas Wilson), the bully who controls George McFly's life, interferes with Marty's plans at every turn.The relationships between these characters really elevate this film above its sequels. Lloyd and Fox have terrific chemistry and are always a riot in every scene together. Crispin Glover is hilarious as the nerdy George McFly, and Lea Thompson is a delight as Lorraine Banes, Marty's mother. Marty's scenes with his parents remind us that our parents were once teenagers too. Marty learns that he has more in common with his parents than he thought. He has the same fears as his father and his mother's rebellious spirit. Lorraine develops a crush on Marty that should be disgusting, but Thompson's charm and Fox's awkwardness make it hilarious.I should devote some credit to the film's special effects and action scenes. In order to go forward in time, Marty and Doc have to harness the energy from a bolt of lightning and channel it into the flux capacitor (which makes time travel possible) while driving the Delorean at 88 miles per hour. This sequence remains one of the most exciting scenes I have ever watched, in large part due to Alan Silvestri's score, and I love how they were able to give the clock tower a significant role in every Back to the Future movie. The time machine going back in time is just as impressive today.Back to the Future is my favorite film by Robert Zemeckis, and I doubt he will top it.","
            10/10
            "
"joshuavogel79","11 January 2011","This is movie magic at its finest.This movie is is fun, funny, captivating, enthralling, suspenseful and all around amazing.Christopher Lloyd and Michael J. Fox are perfect in this movie, and the supporting cast are spectacular as well. Huge shout out to Tom Wilson who plays Biff as well, for being the best movie bully of all time.Now, this film- while being the best thing ever made- ever- is not without its flaws... the opening amp sequence is a bit goofy and out of character with the rest of the film, and Crispen Glover's performance may be too outlandish for some people (personally, I love him in this movie).I'm not sure that this movie is going to stand the test of time- You may have had to live through the 80s to fully appreciate the contrasting attitudes and behaviors of Marty and the people of 1955. I think the film holds up fine right now, but I wonder in 20 years if people will still appreciate its subtleties. In brief, this movie is the most fun thing I've ever watched. Perfect, happy, blissful escapism. Movie magic. Pure movie magic.","
            10/10
            "
"RJA","5 August 1998","This is truly one of the greatest movies of all ""time."" Not only was it at one time up in the top 10 U.S. box office hits when released, it was also nominated for an academy award for best screenplay.  How many sci-fi/fantasy/comedy movies ever get that?  Not many.  This is a film that will live forever and become a classic.","
            9/10
            "
"jack_o_hasanov_imdb","18 August 2021","What can i say ?It is a classic...................","
            7/10
            "
"zkonedog","12 March 2017","When you browse a catalog of films (online or otherwise), the titles are usually arranged according to genre, such as drama, action, comedy, romance, etc. When it comes to Back To The Future, a copy would need to be put in almost every category, as it is perhaps the only film I have ever seen that almost completely defies the very notion of genre. That reason, among others, is why I consider this to be the finest film ever made.The basic story revolves around 1980s teen Marty McFly (Michael J. Fox) whose friendship with mad scientist ""Doc"" Brown (Christopher Lloyd) ends up with Marty in a time machine--made out of a Delorean!--whisked away to the year 1955, where he ""messes with the space-time continuum"" and must make sure that his parents meet and fall in love once again, thus assuring his own existence.That relatively simple concept contains so, so much more in terms of overall entertainment. It is hilarious, romantic, dramatic, and full of action and adventure in equal measure. The acting is also some of the best that cinema has to offer. While Fox and Lloyd are now iconic as the leads, the trio of Lea Thompson (playing Lorraine Baines), Crispin Glover (George McFly), and Thomas F. Wilson (Biff Tannen) almost steal the show on certain occasions with their various personalities. Even the ""bit players"" are superb in their short, yet very important/meaningful appearances.Perhaps the most impressive thing about this entire film experience, though, is the detail put into each and every scene. One must pay close attention to every single detail (no matter how small or seemingly inane) of every single scene in the 1980s-portion of the film in order to better understand the jokes and sight gags of the 1950s-era time frame. I have watched this film at least a dozen or more times all the way through, yet on each viewing I find something new that I seemed to have missed.Finally, the screenplay from ""the Bob's"" (Zemeckis & Gale) is perfect. I say that without hyperbole. There is simply not a wasted line or scene in the entire picture. Everything has meaning in some way, shape, or form that is paid off further down the road.Whenever I watch ""Back To The Future"", its roughly 2-hour runtime seems to absolutely fly by. It is so perfectly paced, with each scene expertly transitioning into the next, that there's never an iota of chance you'll be taken out of the experience in any way. It is the very best that cinema has to offer on all fronts.","
            10/10
            "
"N_Thisum","4 February 2021","This is my all time favourite movie.Better than many present movies.Enjoyable pure classic","
            9/10
            "
"io_ale_pop98","7 March 2015","I literally made an account just to give a review to this movie and express my appreciation. I have to start by saying that the actors were absolutely amazing. They captured perfectly that revolutionary atmosphere of the 80's. I actually feel what is like to be a teenager in that period just by looking at the way they act. The script and the way it is made OMG i seriously don't know where to begin. All the jokes and punchlines are so carefully implemented, this movie has so many references to both real things like the joke with Ronald Reagan and things from the bttf universe, to give an example it would be the continuous repetitions that are always placed cleverly and even if you get a feeling of what is next you always end up satisfied. What this movie really tries to emphasize is that history repeats itself and that we create our own destiny. The amazing thing about this movie is how Marty travels back in time, a place where we believe we know everything about and we are somehow still mind-blown by every character and action and feeling .You just cannot not get that chill when u think of how irreversible time is and the way this movie captures all these emotions is simply extraordinary. The best movie experience i've ever had!!!","
            9/10
            "
"hellraiser7","5 August 2018","This is another of one of my favorite films of all time. This film is special to me in so many ways, from the fact that it's another film from my childhood I saw this when I was about seven years old. But most importantly this was the very first time travel sci-fi I've ever seen and it's still my favorite in the sci-fi subgenera. Back then I never even heard of the genre and the concept, this film is one hell of an introductory, it was a concept that blew me away the ability to travel anywhere throughout time; personally, for me I'd love to revisit the 80's decade which is funny to say since this film was made in the 80's. You could also say this was the film that steered me to my favorite TV show of all time ""Doctor Who"".This film just has so much, I really like the story which is fun and clever at the same time. One thing this film does well is the fact things aren't overcomplicated, the fundamental problem with most time travel stories are sometimes they have this stupid need to complicate things or play around too much which really swiss cheeses the story in plot and consistence or that it's overly concerned on the concept and logic but little on story. This film keeps things simple because it keeps the car on the road, by keeping the focus on character and story. Sure, there is a slight complication and inconsistency in this story but it's not noticeable not even concerned about it, even I wasn't and let's face it all time travels stories have this. The film also kind of stays true to the pulp sci-fi as their concern was for story and adventure and logic was shelved.The characters are great from Biff Tannen played well by underrated actor Thomas F Wilson whom is one of my favorite fictional villians as throughout the film series he's had several versions of himself about as many as any Time Lord from ""Doctor Who"". He's a villain you love to hate, yeah, he's basically a bully whom I normally despise but here it's handled right where he's a person you easily can despise but have fun with at the same time. He has some of the best lines, but I think what really makes him stand out is the fact that he's an idiot. Despite the guy being big and strong, having the best car, it's all really just a way to pass himself as cool, the guy literally thinks he's really cool even though in reality everyone around him knows he a dirtbag.But of course, the two characters that really make the film are Marty and Doc Emit Brown played by two of my favorite actors Michael J Fox and Christopher Lloyd. These two are defiantly one of my favorite duos, both play off each other and balance each other out well.Marty McFly is great he's one of my favorite fictional protagonists because he's someone I can easily emphasize with as I was a kid from the 80's and I can epaphisize with bits of his persona. As he's a teen from the 80's, as he's into skateboarding, music, camcorders, and a lot of things in the 80s, I'm a kid from the 80's I was into that stuff too. He's kind of on the rebellious side, but he's more of a silent rebel as he doesn't always feel a total need to follow every rule, as he sometimes undermines the school principal, even I'm like that sometimes. But what I like about him is he's a person that has big dreams and ambitions, he wants his band to play in big events and also make music in the music world, however he has faced his series of rejections yeah, I can emphasize with that with my acting auditions; however he doesn't give up despite how much it hurts. Though also has dreams of love with his significant other Jennifer played well by Claudia Wells whom I thought was kind of hot, you really get a good feel for her and both of them as they've been a couple for a long time.I really like how Marty reacts to the 1950's decade, since he a kid from the 80's it's easy for me to emphasize with him since I was one to. To some people that either lived or close the decade of the 50's or historians that have some fascination with it, it would be a dream come true to be able to come back to it. But for a person like Marty and myself, we wouldn't really like it not to say it's a place I wouldn't mind visiting but not one I'd want to say in ; for one thing Marty traveled their unintentionally and with time travel machines you'd have the freedom to stroll out the door anytime you want but his freedom has been prohibited so that sucks. However, I really like in the first sequence of going to 1950's Hill Valley how disoriented and even scared he looks, I'm sure that would be how we would react to walking to a decade long gone it's like walking into another world. From seeing vintage cars, you would see in a car museum being driven conveniently, old songs you'd hear on an oldies but goodies on a sat radio station being played as if they've just made the billboard, certain things that aren't around yet like video games or further seasons of ""Doctor Who"", it wouldn't exactly be like going to a vacation spot.It's also funny in the film how Marty in an inadvertent way affects things not just from how he brings his parents together but also how may 'be he was one factor that may have helped get certain things in our modern-day culture started. Like the music he plays in the school dance, the skateboard, you name it. To me that's part of the what makes the film it funny and fascinating, it really shows how one person can really have a big affect on time without know it but also how one person truly can make a difference. Though it also brings up the parallel dynamic between both Marty and the 50's decade as both were a time of great changes from youth to culture.Doc Brown is just great as he's is a genius but is a bit childlike as he does have a bit of an eccentricity from his hairstyle which always seems to be stick up to even how rapidly inventive he is. However, he does have a good dose of common sense and wisdom which keeps him from not flying off the road but also able to interact properly and mentor Marty. But one thing about him I can easily emphasize with is on how fast he is, he the kind of person that loves to do lots of things and get things done but is aware he has limited time to do them. Like in one scene, he has built a rather elaborate scale model of the town but is apologetic that he didn't have enough time to paint and give it details, despite the fact it's looks great all the same. I just find that a little funny because I'm sort of like that myself where sometimes I get one thing done but there is one other thing I haven't got done yet or I wanted to do within the given time.I really love the DeLorean, it's my second favorite time traveling machine next to the Tardis on ""Doctor Who"" which you know is my first. Making a time traveling machine out of a car was unheard of at the time, personal I thought it was a cool idea and really is a lot more convient because with it you will not just travel back or forwards in time, but you'd be able to drive within that time period where ever you need to go and hide it better by driving to a spot. The effects on that DeLorean are cool just every time it travels in time it just leaves a vapor trail of fire on the road. Music is also great this film has probably one of the best soundtracks I know. From the theme song from Alvin Silvestri which perfectly reflects the movie as it has an adventurous tone. Another trademark are two other songs from the film ""The Power of Love"" and ""Back in Time"" by Huey Lewis and the News. As well as a few familiar oldies but goodies tracks, most notably the song ""Johnny Be Good"" at the dance.There are lots of fun moments I won't say them all since there are so many which makes the better because there's not one dull moment, from the big highlight for me is the Skateboard sequence which is one of my favorite chase scenes, here it's a skateboard skating away from an automobile. When you think about it being on a skateboard does have its advantages as Marty is able to ride on sidewalks and certain roadways and areas that an automobile would have a hard time accessing, which means plenty of opportunities to outmaneuver his opponent. But also, the fact that Marty is using a skateboard in the 1950's decade alone is really cool, since they didn't have skateboards back then. To even the small moments my favorite which is to me one of the best reference jokes ever when Marty puts himself in the Rad suit and is tricking George to asking Lorene out by mixing up two popular sci-fi franchises, that segment always cracks me up being a sci-fi fan.Well I've said enough, ""Back to the Future"" is a timeless classic that has the millage that goes beyond time.Rating: 4 stars","
            7/10
            "
"SoumikBanerjee1996","18 July 2022","""Wait a minute. Wait a minute Doc, are you telling me you built a time machine out of a DeLorean?""If you got anything that has to do with time, space, paradox hypotheses; well, just count me in. My fascination with these subjects knows no bounds yet regrettably I have never taken the time to experience one of the most touted classics ever proposed on time travel. Believe it or not, this was my first ever viewing and I was thoroughly entertained!Even if there are not many dialogues going on about the core concept; I still happened to enjoy my time with the film, probably more than I anticipated. It was not a laughter ride nor did it wish to become exceptionally passionate about the topic at hand; it just wanted to serve you a delightful plate full of entertainment and light-hearted fun and I think it was successful in doing that. I had a big smile on my face for the totality of this film!","
            10/10
            "
"davidmvining","16 November 2020","This movie is just plain fun, and it manages that because of how Zemeckis approaches a plot heavy film. It's been obvious from the beginning of his career with I Wanna Hold Your Hand that the two Bobs (Zemeckis and Gale) loved to put characters with clearly defined characteristics through a puzzle of a plot with clearly defined goals to pull them through. The likeable characters are the grease that keeps the plot running smoothly, providing a key to the film's success. When the two Bobs were in film school, they were surrounded by others who loved the French New Wave, and they just wanted to make Hollywood films of fun. With Back to the Future, they succeeded just so completely.The interesting thing about Marty McFly is that he doesn't have an arc in this film. At all. He doesn't grow. He learns a bit about his parents but the knowledge doesn't change him. At the end of the film, he's exactly the same person as he was in the beginning. This seems to fly in the face of everything screenwriters usually want to put into a movie, but it works really well because of the kind of adventure Marty gets sent on. He is presented with a problem (being sent back in time to 1955 from 1985), and he needs to solve it. In order to get there he is presented with a series of obstacles that he must overcome, including his mucking up of his own parents' uninspiring and flawed relationship. That's where we get character growth, in secondary characters that have a direct relationship to Marty himself and his journey back.So, Marty and his older crazy scientist friend, Doc Brown, get attacked by Libyans at Doc's first successful test of his time machine made out of a DeLorean. The choice to make the time machine out of a futuristic looking car is a great one on the part of the movie. It allows for the time travel dynamic with exciting visceral thrill at the same time. It also allows for an exciting climax, of course. Doc gets killed and Marty barely gets away, accidentally getting sent back in time without any extra fuel (some plutonium), and needing to find a way home to 1985. Before he ever gets to managing the beginning of a plan, he ends up bumping into both of his parents as he explores this new, brighter, cheerier nightmare world that he must escape.The mix of his exploration of the new world and his discovery of his parents as young people is expertly intertwined so that we never feel like we're coasting without momentum. His break of the history that brought his parents together is handled quickly, allowing Marty personal stake in getting involved in his parents' relationship at the very beginning. The 1955 Doc Brown encourages this because of vague concerns about the end of the universe and some concern for Marty himself who's due to disappear if things don't get set right. The stakes are clear and make sense to Marty's character. It allows the audience to happily go along with Marty on this journey through time. It doesn't matter that he doesn't change. It matters that the audience likes him and roots for him as he faces obstacle after obstacle on his clearly defined journey that just happens to be fun at the same time.The clear line of action ends up forming and Marty has to balance preparing for the historical lightning strike that he and Doc will use to send him back to the future while, at the same time, trying to repair the relationship he tore apart before it formed. The normal expectation of character change happens around Marty's father, George, who can no longer just fall into a romantic relationship with the pretty Loraine, but he must earn her affection. That earning, at the ironic guidance of his own far more confident son, turns George into a better, more confident man.The puzzle-like nature of the plot, reminiscent of and superior to what Zemeckis and Gale pulled off in their earlier pictures, all falls into place marvelously through the movie's climax. The clock tower, established in the opening minutes, the bad starter on the DeLorean, the tree falling on the cable, the visual call back to both the famous image of Harold Lloyd from Safety Last! and a clock at the beginning of the film, and more all come together in perfect harmony to give us the cathartic release as we watch Marty and Doc overcome all of the challenges to complete their goal.The film has all of the hallmarks of a Zemeckis and Gale production at their most enjoyable. The long opening shot that introduces Doc's workshop is evocative of Hitchcock's opening shot of Rear Window, revealing key pieces of character and plot information elegantly. It's paced quickly, never slogging down in unnecessary details, always successfully pushing the story forward. It's energetic, fun, and expertly crafted. This is Zemeckis and Gale have a ball and inviting the audience along for the fun.","
            9/10
            "
"TheMovieDiorama","15 June 2019","Great Scott! Finally managed to watch the quintessential 80s flick that combines a plethora of genres to generate an astounding 1.21 gigawatts. Enough to make me want to go back in time and watch it again. Damn. Damn damn! Now, it's no surprise that Zemeckis' most accessible film is the one that has stood the test of time. Spielberg matching him with this project was seemingly fate, and in the process they had created a pop culture phenomenon that contributed massively to many childhoods. A teenager, who documents a time travelling experiment with an eccentric scientist, accidentally travels back in time to which he must repair history and return to the correct year.With Zemeckis' overwhelming contribution and Gale's stellar writing, they had amalgamated an absurd amount of genres into one adventure. Primarily a romantic comedy with the aesthetics of a science-fiction adventure packed with arresting action set pieces. A whimsical invention that perfectly balanced a variety of tones, resulting in an instant classic. Embedding various intricacies within its script, from the clock tower donation fund to the flux capacitor revelation, that you subconsciously start to cling onto every line of dialogue. Every word is so important in its foreshadowing, that it progressively enhances the enjoyment of its story.It has to be said that the execution of some of these moments were heavy-handed (in case we missed anything...) and the paradoxical nature of its time travel premise was frequently brushed over. But the purposefully engaging characters and plot are able to distract us from these loopholes that sci-fi features commonly fall into. Although the final ten minutes wrapped up far too neatly for my taste, considering Doc went against his own words of advice.Speaking of good ol' Doc Brown, Lloyd's performance was the highlight for me. Capturing the eccentric personality of his character perfectly, from the exaggerated facial expressions to the excitable scientific mumbo-jumbo that he blurts out. He is just as memorable as the pimped out DeLorean. Fox, again, was perfect casting for Marty McFly, the flyest kid in town with his hardcore skateboarding skills hanging onto the back of vehicles. Comedic timing was exquisite and the more dramatic moments involving his past younger mother and father were well handled by him. Glover deserves some praise also, no longer will I class him as the ""creepy thin man"" from 'Charlie's Angels'. He is George McFly, author extraordinaire and my new personal hero for decimating Biff with one punch. Now, Biff for me was too one-dimensional to have a lasting impression, and became a forced plot device just so that the film had an antagonist of some sort. Personally, it didn't need one. Exclude him, or grant him some development time, and the story would've benefited from those alterations.It must be said that Silvestri's grand score accompanied the joyous onscreen shenanigans stupendously, and certainly had that Spielberg flair found in most Amblin productions despite the small scale drama. Oh, and ""The Power of Love"" is banging. All this time, and I didn't know it was associated with this film (I'm so uncultured...)!Suffice to say, regardless of the shortcomings and an absence of personal childhood nostalgia for the film, it still delivers strong entertainment today. Perfect casting, punctual dialogue and memorable scenes. It may not be the best 80s film I've seen, but it certainly has the gigawatts the maintain its lasting power for many years to come.","
            10/10
            "
"mohammedalawami-10948","4 February 2021","Everyone has already talked about how amazing and fun this movie is and I'm going to join in. I went in this movie with very high expectations with everyone saying how amazing it was and somehow this movie exceeded my expectations. This movie is just perfect!Michael J Fox and all the other actors are incredible in this movie. Fox has such a natural dynamic with Christopher Lloyd. Their friendship seems too real at times. Lea Thompson really delivers this performance of a thirsty teenage girl, Thimas Wilson perfectly sells this hateful bully so it was so satisfying seeing Bill taken down but Cristin Glover sells the film and his performance is a huge reason into why George has an amazing character arc.And now let's talk about the script because this movie truly has one of the best and most exciting scripts and stories. Everything is set up so perfectly in the beginning with the character's backgrounds, personalities as well as the locations and important informatiom all being established so well for the 1955 section. Not a single scene is wasted. Every scene plays a role in the overall story and everything is linked together and this plot of Marty trying to get his 1955 version mom and dad to fall in love is a perfect concept given everything set up leading to a very exciting climax and a great character journey for George McFly.Speaking of the climax, it's probably the best part of the movie. Mainly because the movie does a great job by increasing tensions and leaving you wondering if Marty will even return back to 1985. I mean, the plan should have been a breeze but so many things went wrong and you're alwaus glued to the screen as you aren't sure what's going to happen and this leads to an emotionally satisfying climax where George and Lorainne finally kiss and that 80s music makes it 10 times better and a heart-racing climax where it seems as though Doc will fail to bring Marty to 1985 but he does and the ending is perfect, seeing Marty's family all so happy.This film is just so awesome and gets better everyime I rewatch it. If you haven't seen this movie yet, stop what you're doing immediately, turn on Netflix and watch the movie. You'll not be disappointed. A must-see for everyone!","
            9/10
            "
"freemantle_uk","5 September 2009","Back to the Future is a film that for people of my generation would have growth up with, along with other important films like the original Indiana Jones films, Stars Wars trilogy, the first two Alien films, the Rocky Series and Mad Max 1 and 2 (just to name a few). Here is a fun family film that has stood the test of time.Marty McFly (Michael J. Fox), is a 17-year-old teenager living in Hill Valley, California. He has a loving family, a good girlfriend and helps a mad scientist, Dr. Emmett Brown (Christopher Lloyd). But he lives in a geeky family, his dad George (Crispin Glover) is bullied by his supervisor and avoids confrontation, his mum Lorraine (Lea Thompson) has conservative values and doesn't like Marty's relationship with Jennifer (Claudia Wells), and Marty's brother and sister are generally geeky. One Dr. Brown, aka 'Doc', asks for Marty's assistance and records the experiments with his next invention, a time machine (in the design of a DeLorean DMC-12). The test seems successful until Libyan terrorists kill 'Doc' and whilst on the run Marty ends up travelling back in to 1955. Whilst in 1955 Marty meets both his mum and dad as teenagers, and interferes with how they met. By doing this he messes up the time-space continuum and risks his own existences. The younger version of Lorraine falls for Marty, not know he is her future son; adding both to comedy and general creepiness. It's a race against time, both to get back to 1985 and to insure destiny is fulfilled by his setting up his parents.Back to the Future is a family sci-fi comedy which is a symbol of its time. It works as a fish out of water comedy, teen comedy and a general look at time travel. They is a simple plot and theme about Marty finding out who his parents are and looks at the similarities and differences of live in the 50s and 80s. The aim of the filmmakers was to make a fun film, and Robert Zemeckis does this. He is a protégé of Steven Spielberg and he keeps the story simple and entertaining. He also shows his skills as a special effects director which in this film were very good. The special effects help the story, but don't overshadow it. They is a very good script to this film, mixing drama and comedy, and hasn't dated badly. The film is humorous and light-hearted. The humour is not crude, like it it in some family films. There is a strong story and with good messages for kids about standing up to bullies and respecting your parents. Michael J. Fox was perfectly casted for the lead role and there are many excellent supporting cast members. Lea Thompson was perfectly pretty as Lorraine and Crispin Glover was fine as a needy kid. Christopher Lloyd and Thomas F. Wilson were really excellent as the mentor and the villain.Back to the Future is an influential family film. It is a mark of pop-culture with this movie being parodied in Family Guy and Futurama. It is Robert Zemeckis' best film (though Who Framed Roger Rabbit is a close second).","
            8/10
            "
"tkronalter","6 August 2020","I really enjoy this movie even now, despite it was shot in 1980s. This is a sci-fi film with memorable characters. In my opinion the movie is great, because of the adventurous atmosphere and humor.","
            9/10
            "
"youkevo","9 August 2020","I first saw this movie way back in 1985 when it came out on VHS video. I rented it out from one of my local video rental shops and absolutely loved it. I watched it twice that night and again the following morning before I had to bring it back.
This movie is a great family sci/fi comedy that captures the imagination. At some point in our lives we've all wished we could travel through time - I know I have.
This movie has great adventure, thrills and laughs that should not be missed, nor should the sequels. A terrific all-round joyride that you'll enjoy time and time again.
In recent times I bought the trilogy on DVD, so as to enjoy the movies whenever I want, and trust me, I do.
I fully recommend this movie and the sequels. Both Michael J. Fox and Christopher Lloyd are perfectly cast as the time travelling duo. So, what are you waiting for?","
            10/10
            "
"kriscot-48548","26 July 2019","an iconic filmgreat visuals for the timea feel good adventure moviestill holds up as an all time favourite","
            10/10
            "
"jfgibson73","11 June 2023","What do you say about one of the most entertaining films ever made? This movie is so beloved that I can't imagine anyone is coming to a review site to read what people think to get help deciding if they should see it or not. It's full of great characters, unique situations, and fun moments. It's packed with action and humor. Marty and the Professor are iconic roles performed wonderfully by the lead actors. Almost forty years later and BTTF is still a household name and part of our shared film culture. You see a Delorean, you think of this movie. It is endlessly satisfying to watch, and my only criticism is that there are one or two sequences that are drawn out for suspense that aren't really necessary. But that is just one guy's nitpick. Most people will find this to be a near-perfect viewing experience.","
            10/10
            "
"adityakumarparida","15 August 2021","I felt love with this movie when I first saw it. According to me it's the best sci-fi Movie.","
            8/10
            "
