"tlmrUsernames","tlmrReviewer_Date","tlmrReviewer_Content","tlmrRating"
"williampsamuel","12 December 2014","There's a song which plays at several points in the Lego movie called ""Everything is Awesome."" The song itself is a generic, unremarkable, annoyingly catchy piece of techno pop, which some of the main characters make a point of deriding. But it perfectly sums up the Lego Movie, because everything in this movie is awesome. There is so much action, so much humor, so many characters and settings. It would take all the money in Hollywood to make a movie with this many explosions, car chases, aerial chases, giant robot battles and magical worlds, not to mention the problems with continuity and logic. But with Lego none of that matters because a world made entirely out of interlocking plastic bricks has its own.That's why a lowly construction worker can become the chosen hero by falling down a hole and touching a glowing brick, then find himself on the run from every cop in the world with a beautiful mysterious woman, all with no idea what's going on and barely more exposition than I've just given here. That's why Batman, Han Solo, Gandalf, Dumbledore, Abraham Lincoln, the 2002 NBA all-stars and a cat/unicorn thing that talks like certain infamous ponies can all be characters in the same movie, and can go from a modern city to the old west, ""Middle Zealand"", the bottom of the sea and a giant office building above ""the void of nothingness"" with no complicated explanation. Heck, in a world made of Legos it doesn't even matter why the evil Lord Business and his henchman Bad Cop want to destroy the world, or why they don't have better names than ""Lord Business"" and ""Bad Cop."" None of this matters because it just doesn't and because everything is so awesome. The frequent action scenes continually outdo each other in spectacle and ridiculousness. The jokes are constant and come in every variety from simple puns, slapstick and sight gags to subtle film and historical references, witty social commentary, and in-jokes about this movie's lack of logic. Plus the movie makes full use of the alternate logic I mentioned earlier. If something catches on fire, fire shaped Lego pieces cover it. Ocean waves are shifting piles of blue studs. Polish remover can get rid of unwanted alternate. The fact that anything can be taken apart and turned into anything else isn't just a cute gimmick; it's a major plot device. And it's hard to imagine a movie that's not in Lego featuring a decapitation and keeping a G-rating.And then comes the twist; the kind of twist to make a young and still talented M. Night Shyamalan jealous. A twist that not only changes everything, but explains everything: the extremely loose continuity, why the characters that aren't recognizable pop culture figures are generic clichés, even why the elderly wizard's advice sounds like a mix of worn out platitudes and recent pop culture slogans. It's a twist that's so obvious in retrospect but so works perfectly anyway. What I'm saying here is that it's a really good twist. And even better is what the filmmaker's do with it, turning a sprawling fantasy/ sci-fi epic into a charming tale about the power of childlike imagination. The first hour is pure fun and will delight children of all ages. The imagination and depth of the last fifteen minutes make the Lego Movie the best animated feature since Toy Story 3.","
            7/10
            "
"TxMike","8 July 2014","This is a curious movie. I had not heard much about it, but knew it was highly regarded. My wife and I started watching it last night, but shut it off after about 45 minutes. It didn't seem interesting at all.But today I gave it another chance, finished it, and now understand. While it never will be one of my favorite animated movies, it was fun to watch especially during the last 10 to 15 minutes.I tried to find out about how they made it by re-watching it with the DVD's cast commentary, but let me tell you that is one of the most annoying commentaries I've ever witnessed. Fortunately someone asked if most of the movie is computer animated or actual shots of Lego pieces, sort of in a claymation style of animation. As it turns out almost all of it uses computer-generated images, but they did it in a way that it looks like real Lego pieces were used. I would guess that a person who grew up with Legos (not me) would get a bigger kick out of it. There's some funny stuff, like being afraid of the 'Kragle', which we see is 'Krazy Glue' with the letters 'z-y-u' scratched out from use. But it mainly seems to want to give the message that each of us has the ability to accomplish great things, and 'everything is awesome, everything is cool when you're part of a group.'SPOILERS: For most of the movie we see Lego figures and Lego machines in various settings, buildings, streets, etc. Their small world is animated, it is as if they are alive, and I suppose in a sense they are. But then we see it is a giant Lego set built in a basement, and the dad (Will Ferrell) comes down the stairs to see his young son has made some alterations to what Dad had built. At first dad was angry, but then he realized that his son had to exercise his creativity too.","
            5/10
            "
"bravesfanc","23 February 2014","I will say that when I saw the preview for this movie I wasn't too excited about it. I was never a fan of Lego's even as a kid and never really played with them. Only through the great reviews and word of mouth did I decide why not give this a shot and I'm glad I did.I didn't see it in 3D and it might have made it more entertaining with the way the special effects were used. It was a clever piece of work with the way they portrayed water, fire, smoke, and a whole bunch of different things.Even though most kids will want to see this, its the adults that will probably be heard most in the theater laughing. The jokes are more for the adults but because its Lego's the kids will have a fun time too. There is a bit of a twist at the end that I didn't see coming.Overall, its simply just a fun time at the movies that both the kids and adults will equally enjoy.","
            7/10
            "
"MissSimonetta","15 February 2014","The Lego Movie (2014) is something that could have easily been a quick, uninspired cash-in, but much to my surprise it took my breath away with how unique, quirky, funny, and even touching it was.The animation is unique: though it's pure CG, it evokes stop motion and creatively utilizes its Lego world. Though I'm always skeptical of celebrity voice acting, all the actors do a great job here, especially Morgan Freeman, Liam Neeson, and Will Ferrell.The story riffs on the oft-used ""chosen one saves the world"" plot and comes across as something a child would make up as they went along. It is this quality that transports the viewer back to his or her own childhood. I didn't much play with Legos as a kid, but I do remember using my dolls and whatever else was around to create crazy characters and adventures.A wonderful flick. Do make sure to see it in a packed theater, because the mirth and laughter are absolutely infectious.","
            7/10
            "
"Gordon-11","24 June 2014","This film tells the story of a young man who is not very bright or memorable. He turns out to be the unlikely hero who saves the Lego worlds from am evil billionaire.The characters are so cute and colorful, and I really like the scenes where they show the posts number on the screen. The story is lighthearted and fun, and actually borders on being silly. If it was a film with real life actors, it would not have worked. It would have been to silly and too contrived. But it's Lego, and therefore it had to be fun, and every bass thing about it can be excused! It's not just a film, but a film that brings back collective memories of the childhood. Therefore it is more enjoyable than just the film on its own. Tinted by the happy childhood memories, everything about the movie becomes awesome!","
            10/10
            "
"seruanyre","21 January 2023","""The Lego Movie"" is a truly innovative and entertaining film that pushes the boundaries of animation and storytelling. From the moment the film starts, it is clear that the filmmakers have put in a great deal of effort to create a world that is both familiar and unique. The animation is absolutely stunning, with every frame bursting with color and detail. The characters are all well-developed and likable, and the plot is both funny and heartwarming. It's hard not to be charmed by Emmet and his quest to save the Lego universe.However, the real strength of ""The Lego Movie"" is its clever and meta commentary on the nature of storytelling and creativity. The film is filled with clever jokes and references that will delight both children and adults alike, and the message of the movie - that everyone has the ability to be creative and tell their own story - is both empowering and uplifting.The film also features a fantastic voice cast, including Chris Pratt, Elizabeth Banks, and Will Ferrell, who all do a great job of bringing the characters to life. The film's soundtrack is also noteworthy, with catchy and memorable songs that will have you humming along long after the film is over.Overall, ""The Lego Movie"" is a must-see for anyone who loves animation, comedy, and a good story. It's clever, funny, and heartfelt, and it's sure to delight audiences of all ages.","
            7/10
            "
"grantss","6 April 2015","Novel graphics, good fun.I had low expectations for this movie, thinking it was simply a kids movie. Turns out it is suitable for all ages. Interesting, though not that original, plot. Very funny, snappy, dialogue. Generally, a good action-comedy.Obviously, the thing that stands out most is the use of Lego for everything. Incredibly original in that regard.Great casting for the voices: Chris Pratt, Will Ferrell, Elizabeth Banks, Liam Neeson, Will Arnett, Jonah Hill, among others. Best of the lot, in my view, is Will Arnett as Batman. Very funny.Not perfect though. Plot gets quite random, almost silly, towards the end. The novelty of the graphics wears off too. Plus there are scenes where the Lego graphics don't do the movie any favours - you sometimes struggle to figure out what you're seeing.Overall: good entertainment.","
            8/10
            "
"LeonLouisRicci","27 September 2014","Overstuffed to the Max, this CGI Brick Bash has a Lot Going for it, Namely Familiarity. There are Constant Character References that are Already in the Brain and Make for Easy Access and Satire, and of Course the Toy Set Itself (the word Lego is never mentioned), that has been Around Since 1949.Ultra-Kinetic and Cut Like a TV Commercial (like just about everything else Today), it Seems to Embrace the Attention Span Deficit as though it is Sacrosanct and Young People Cannot Live with a Micro-Second of Reflection. This Works for Awhile but can be Overwhelming to Anyone Needing to Take a Breath.Ironically, the Movie Comes to a Crashing Halt when Live Actors Show Up, Things Slow Way Down, and the Final Fifteen Minutes Go from Wacky to Completely Out of Whack. It's Light Speed Pacing Collides with a Brick Wall and Never Recovers. The Film Could have been a Complete and Persistent Piece of Art Without the Worn Out Preaching from an Unenlightened Dad and the Writers. It is a Flaw that is just too Big to Ignore and Drags the Thing Down to a Normal Level that the Movie Abandoned So Well. Until then the Audience was in a Completely Different Time-Space Continuum and One Wonders Why such a Misstep was Included. Overall it is a Right Angle Amalgam of Pop Culture Icons and Ultra-Brite Colors Flashed with a Frenetic Blast of Plasticized Eye Candy with a Clever Storyline and a Ponderance of Puns.","
            8/10
            "
"agmoldham","25 March 2014","I'm not sure whether it is good or bad, but there were no kids at all in the theater when I watched the Lego movie - It was the last screening of the day and there weren't too many adults around either. I saw the 2d version of the film, but suspect the visuals may have been even more impressive in 3d. The Lego movie tells the story of Emmet who is a very ordinary lego figure mistaken for the chosen one who will save lego. He has to escape the attentions of the evil Lord Business who wants to end the universe and the good cop/bad cop who is tasked with finding him by Lord Business. He is helped along the way by Wyldstyle who recognises that he is the chosen one. The movie is fast paced with loads of action and cameos by numerous faces from popular culture. I will not spoil the surprise by listing these, but the film is great fun from start to finish. I suspect the humour will appeal more to adults than children, but don;t have anything to back up this gut feel. Good fun!!","
            10/10
            "
"diac228","11 February 2014","Now, read the upcoming phrase carefully, because it might come as a bit of a shock.The Lego Movie is the best animated film, and the best overall family film since 2010's Toy Story 3.Pick up your jaw, and hear me out. The Lego Movie screams, embellishes, breathes creativity, heart, and soul that has been lacking severely in most animated movies in recent years. It is a skillfully directed movie that has so much detail you might need multiple viewings to catch all the fun. This movie hits on every single aspect of filmmaking, and took everything that worked on the Disney Renaissance and the Pre-Cars 2 Pixar era and gave it a nice whimsical spin thanks to the concept of the building block toys that stand out in American culture.Where do I start? The Lego Movie is the perfect blend of kids, adult, and nostalgic entertainment that will keep everyone's eyes glued to the screen regardless of age. Whether it's the fun, joyful sounds and colors and visual jokes that will make the kids happy, or all the fun subtle pop culture and nostalgic jabs that will entertain adults, there is something for anyone involved. The animation was astounding and easily has some of the best meticulous visuals since Ratatouille.The best kinds of stories for animated movies are those that start out simple for the tykes, but secretly contain layers of content for the more established minds. This is what made your earlier Pixar movies so appealing for a vast audience; it never talks down to the viewer but doesn't overwhelm the kiddies. In The Lego Movie, what starts out as a simple tale about a prophesy defeating a tyrannical villain from taking over the environment morphs into a beautiful story about finding your voice and being original.Like previously stated, all aspects of this movie work. The voice acting was phenomenal, especially Elizabeth Banks as the lead female, Liam Neeson as Good Cop/Bad Cop, and Will Arnett as Batman (he does a better Batman than Christian Bale—seriously). The musical score was on-point, the humor and action run plentiful, and there's plenty of heart and soul that will tug the heartstrings. Just wait until you arrive at the final act. Unlike practically every movie nowadays, you won't see it coming.It might be hard to believe that a movie with serious marketing and product placement implications becomes the best around since this past summer with Before Midnight. It might be even harder to believe that Warner Brothers has managed to surpass the usual suspects of Pixar (notice all the movies I've referenced in the review) and Dreamworks at their very own game. Nonetheless, this shocker of a gem is the perfect family cinematic package. From top to bottom The Lego Movie delivers. If this isn't one of the best films of 2014, then we are in for a spectacular year of cinema because this movie is seriously a work of kinetic brilliance.Recommend to the highest degree, no matter who you are or how old you are.","
            9/10
            "
"anaconda-40658","5 May 2015","The Lego Movie (2014): Dir: Phil Lord, Chris Miller / Voices: Chris Pratt, Will Ferrell, Elizabeth Banks, Will Arnett, Liam Neeson: One of the most original and impressive animations since Toy Story. Physically it regards the building toy blocks that have been around for decades. It also symbolizes the building of friendship and loyalty. Chris Pratt voices Emmet an average construction worker who comes across a mysterious female rebel named Wyldstyle. When he falls down a hole he is arrested and learns that he has a piece of the resistance attached to him. The villain is Lord Business whose war is against anything that disturbs his view of normality. He plans to use a substance called the Kragle, which is a tube of Krazy Glue with certain letters rubbed out. This is being used to glue the universe in place. Directed by Phil Lord and Chris Miller whose previous credits include the overrated 21 Jump Street. Emmet is the portrait of the average joe and indicates that everyone is important and gifted. Emmet is not that intelligent yet has the amusing ability to come up with bizarre ideas. Elizabeth Banks voices the rebellious Wydestyle who is out to find her importance. Will Arnett steals moments voicing Batman who is Wydestyle's boyfriend. Will Ferrell voices the tyrant Lord Business as well as appear in reality as a struggling father. Liam Neeson steals moments voicing Good Cop / Bad Cop who is the henchmen of Lord Business. There is also a host of other popular pop culture characters as well as hilarious references that will allow adults to build on enthusiasm as well as children. Score: 9 / 10","
            9/10
            "
"FlashCallahan","8 February 2014","The idea of a Lego movie really didn't entice my enthusiasm one Iota, and the trailer was even more discouraging.But i'm here to say that this is one of the funniest, sweetest, family films I've seen in a while.The premise is simple, a prophecy is held stating that a special master builder will find a piece that will defeat lord business, and stop him from destroying the world.Jump eight and a half years later, we meet Emmet, an ordinary man who follows the instructions by the book, and goes unnoticed by his work colleagues and pretty much everyone in general.That is until he spots a stranger around the building site, and he discovers the sacred piece, and a policeman who's less than friendly....Suddenly his life changes forever....First and foremost its a kids movie, but its a film for everyone. Not one of those movies that has separate jokes for adults, but one that the whole family can laugh at/with.And the reason why the film works, is because it's just so bonkers that you cannot help but love it. One minute we have a wonderful Batman being cocky toward everybody, or Superman trying to avoid The Green Lantern, or Han Solo trying to find a party, to Milhouse.There's something here for everyone. The voice work is brilliant, and even though the leads are brilliant Neeson steals the movie from everyone as his bad cop/good cop hybrid.The adventure goes from world to different world, and each world carries a vast array of colour and character, but that's not the joker up,the movies sleeve.The final third spins the whole film on its head, and turns it into a totally different film that you were watching for seventy five minutes.Its clever, funny, and most of all, touching.Well worth seeing with the whole family, and see it before people tell you the secret....","
            7/10
            "
"scottshak_111","13 February 2014","Hands down, this movie would is a complete entertainment package. The CGI is so beautiful, it breathes life into the inanimate. Brilliant depiction of the LEGO world. All of our favorite characters were brought to life. Projecting real life objects into the Lego world was very thoughtful. Relating stories with reality manifests how considerate the writing was. Will Ferrell‬ was a pleasant surprise. ‎Batman is just awesome! The flick is just perfect. We were almost starting to miss Toy Story. The Lego Movie comes along and brings smile to our faces. Brilliant! A must watch.","
            9/10
            "
"Mr-Fusion","20 June 2014","THE LEGO MOVIE has so much going for it, it's absurd. I love that they made Batman a self-absorbed douche (and Will Arnett does a terrific job with this). And everyone else does great, too: Chris Pratt, Liam Neeson, Nick Offerman, and especially Elizabeth Banks (god, she can make reading the phone book sound sexy). No one expected much from this movie when it was announced (myself included), so to see just how good this thing turned out is the real surprise. It's well-written, damn well-animated (so much of this CGI looks genuinely stop-motion; top-notch stuff) and features an array of great characters. But most of all, it's a whole lot of fun.9/10","
            10/10
            "
"gbill-74877","12 January 2022","""People everywhere are always messing with my stuff. But I have a way to fix that. A way to keep things exactly the way they are supposed to be. Permanently.""That quote pretty much summarizes conservatism, doesn't it? I love the social/political messages slipped into this fun, clever film, with a character called President Business keeping the public dumb and happy through vapid entertainment and free tacos. He's all about maintaining his possessions, not serving the public. It's a land where workers mindlessly sing ""Everything is Awesome,"" believing in rosy optimism, and overlook the sinister things going on right in front of them.You certainly don't have to see a critique of America to enjoy this film though, as it works on several levels. The jokes and references are fresh, and the pace is great. The visuals, making things like ocean waves out of Legos, are highly creative, and the way the story ties together in a real-life basement is fantastic. There are wonderfully positive messages relating to nonconformity, believing in oneself, and understanding that everyone has an ability to make a difference, and should be empowered. It cuts through many traditional film tropes, including those around superheroes and stories with a ""chosen one,"" even if the romance is a bit standard. All that and appearance from Lego Shaq too, I mean, what else could you ask for?","
            7/10
            "
"Pjtaylor-96-138044","8 February 2019","I mean, it's just great. 'The Lego Movie (2014)' is a smart, unexpected and, frankly, hilarious animation that's actually much more than the sum of its parts - not to mention being much, much better than pretty much anyone anticipated, especially considering that it's essentially an extended advert of sorts (perhaps the best, most product-aware advert I've ever seen). The hit-rate of its humour is incredibly high. It's genuinely funny on more than one occasion, providing several big belly-laughs. Even when it isn't 'laugh-out-loud', there's something amusing or clever that keeps an ear-to-ear smile on your face, essentially, every few seconds. The piece is also remarkably heartfelt. It manages to keenly deliver a few important and considered messages, round off all its core characters in satisfying ways and conflate its masterful but somewhat 'out there' twist with its already established world, all while delivering a fast-paced, mile-a-minute, almost visually-psychedelic adventure. Seriously, there's a moment near the end that comes really close to making me tear up. That's not bad for a picture about talking plastic bricks. Speaking of which, the animation itself is stunning. Everything is made of individual digital Lego pieces, most of which have fingerprints and scratches on them. This, combined with the stop-motion style and dedication to only using replicas of real-world pieces (there's no cheating here), makes for an impressively tangible but delightfully playful feast-for-the-eyes, one that packs so much stuff into each and every plausibly (if nigh on impossibly) real-life recreatable frame. It's just great. It's easily one of the best animated features that I've ever seen. If one were to be cynical and say it were just an extended advert and not a proper film, then I'd fire back and say that, as I mentioned, it's straight-up the best advert I've ever seen, by a wide margin, that's better than a lot of 'proper', non product-placement containing pictures. It's an advert that I'd be happy to watch again and again. Well played, Lord and Miller. Well played, indeed. 9/10","
            9/10
            "
"siderite","21 January 2015","In this computer animated movie based on Lego pieces, Chris Pratt saves the universe. Again. And while the animation was original and well done while and I don't have any qualms with the actors or direction, this film is just another Hollywood film about the hapless hero who finds it in himself the power to save everybody - if he has a lot of luck - and proves to everybody that he is ""special"".Like many others, when I first heard of the premise of the film I thought I would not see it, but then I heard so many people describing it as a cool movie that, in the end, I gave up and watched it. Yes, it is nicely done, yes it has a lot of nods to other movies, yes it has some funny scenes, but in the end it is just... not special.And I am not saying this because I am mean or because I think a Lego movie should be deep and profound and morally ambiguous so that adults would get it, not just little kids, but because the message of the film is as cliché and conformist as they come. In a story about people removing the constraints of set rules and following instructions, the main message is ""be yourself!"". That's original.So, yeah, it is a good movie, but it was so over-hyped that I couldn't enjoy its story mediocrity. Huge amounts of money were poured into this film, with good actors used for voice only, cool animation, but the bottom line is that... I've seen this before.","
            7/10
            "
"azrex","31 August 2014","Here we go again, Another copy up movie 1st of all, The movie is actually alike to Chicken little Here's the reason why, The plot's Is alike from Disney.The total mayhem is alike, Same thing! They did War of worlds, With robots?! Same Same thing! The movie was Not bad, But its not worse.The city is also alike! :NOTE Well I guess it was terrible after all, After 60 minutes, They started to do a War of the worlds, AGAIN! The plots again! The animation again, the City again, But everything else besides the Characters, Including the movie, TERRIBLE!!!!!!!!!!!!!!!!!!!!!!!!!!!","
            9/10
            "
"pixrox1","11 February 2014","Dad's the bad guy. Maybe not every dad is exactly like Will Ferrell toward the end of THE LEGO MOVIE, with a hoard of 7.5 million plastic bricks Krazy glued together into 82 skyscrapers and scores of other objects filling the basement, surrounded by 36 ""Do Not Touch"" signs meant for Mom and their kids. But very few dads fail to spend huge chunks of their family's budgets on their metaphorical Own Private Lego Lands (whether it's collectible beer cans, trout fishing flies, vinyl records, comic books & action figures in their original shrink-wrapped boxes, etc.). The average dad cordons off large swaths or entire rooms of family living space for their time- and money-consuming ""hobbies,"" while tattooing ""Do Not Touch"" signs on the hearts of the rest of their family members. Well, it's time for Moms to lead a Rebellion! Take your little ones to see THE LEGO MOVIE; then storm Dad's citadel, touching everything! Touch touch touch touch touch touch touch!! (Only, DON'T DO THIS if Dad collects guns!!)","
            9/10
            "
"FeastMode","26 June 2019","Very funny and extremely creative movie with a respectable story. unique idea with lots of clever ways to use different characters. some very memorable parts too (2 viewings)","
            8/10
            "
"ThunderKing6","20 February 2019","Animation, acting, voice work, story was a nice fun adventure.For a first I am very please with what we got. The characters can be obnixous yet they are all different in their own ways.Its a fresh movie.","
            3/10
            "
"RosanaBotafogo","22 August 2021","I liked the happy unicorn party, I don't know what the passion for Batman is, in the lego version he can be even more unbearable, Emmet is a special clumsy cute, that adorable ""Fantastic Bobby's World"" happy start, could be shorter and more objective , because it's a long franchise, or I'm boring because I don't die of love for the little pieces, I lack the affective memory, I never had...","
            8/10
            "
"cricketbat","11 October 2018","The Lego Movie is entertaining. Only about three of every six jokes land, but at least they're swinging for the fences. My kids were completely engaged in this movie, and I was happy to be along for the ride. The voice acting is well done and the animation is clever. This film could have easily turned into a commercial for Legos, but it didn't, thankfully. I would definitely watch this movie again.","
            8/10
            "
"michaelhirakida","9 February 2014","*NOTE* Before I begin this review, the rating button was gone when I was typing this review. I do not know what has happened but I will continue to write reviews with my Grade and Number Rating if I never see it ever again. Now onto the review! Am I The Only One Who Thinks This is Great Political Commentary on Today's Society? No. Just ask Mark Caleb Smith in his article called ""Everything is Awesome: The Politics Of The Lego Movie"" Which says that the film takes place in a dictatorship or Totalitarianism Government and ends on a great note.Why? Lets begin with the story. The Lego Movie follows Emmett who is a construction worker in Lego City. He one day falls into a hole finding a red Lego piece and blanks out. He wakes up being interrogated by Good Cop/Bad Cop and is rescued by a rebel who mistakes him as a Master Builder. He now has to get the Red Lego Piece to put on a glue stick to stop President Business from gluing everything together. On his way he meets a bunch of colorful characters and cameos.I went to see a Sold out Showing at 7:45 tonight and it didn't disappoint. Everyone was laughing, cheering, and applauding till the end. The children in the auditorium were very quiet while watching this which I'm surprised by considering when I went to see Planes they were loud and noisy.The casting was good. Alison Brie plays a cross between a unicorn and a cat who likes happy thoughts and love. But don't make her angry or she will turn into a monster! She was probably my favorite character in this entire film and her casting was perfect because Brie is well known for playing soft hearted cheery women.As for the story, I love it! I love that clichéd story where the chosen one has to save the world! It never gets old.The animation is brilliant combining stop motion and CGI technology to make one of the most breathtaking experiences in movies for this year.I wont spoil the twists, but they are awesome and unpredictable.As I was saying about the Political Commentary, The Film's Characters are based off real life people. President Business compares to many Dictators. Unicorn Kitty represents many Russian Leaders of The Soviet Union. So on and So On. But in the end, The Fascist Government is torn apart and individualism spreads joy around the world. I know it sounds crazy, but its true! Look at their characteristics and worlds and you'll see what I'm talking about.This movie is really good. They did an excellent job with everything from the witty script to the casting to the animation. Its a really good family film that will be looked back by children in years to come.Definite must see movie.89/100 B+","
            8/10
            "
"3xHCCH","11 February 2014","""The Lego Movie"" is an animated film that uses Lego characters and sets to tell a story of how an ordinary guy can actually be extraordinary.Emmett is just an ordinary construction worker who always waited for instructions to follow, never having an original thought by himself. Falling into a hole one day, he found a mysterious red block, which attached itself to Emmett's back. This turned out to be the legendary ""Piece of Resistance"". This item can only be possessed by a hero called the ""Special"" destined to save Lego Land from the nefarious President Business, who threatens everything with ""Kragle"". Threatened, Business sics Bad Cop on Emmett to capture him.Emmett and his friends, the purple-haired Wyldstyle, the old sage Vitruvius and the gruff superhero Batman, escape into Cloud Cuckoo Land to gather up other ""Master Builders"". Who these Master Builders are and how the story goes after this is very complicated to describe in words. It is simply better seen on screen. Just when you think the story is at the limit of its absurdity, a twist happens which grounds everything back to reality.It was fun to hear the voices of Chris Platt, Will Farrell, Elizabeth Banks, Will Arnett, Liam Neeson and Morgan Freeman bring life to the main character. It was fun to see all those cameo appearances of an array of Lego characters from various special Lego sets in the past. Later, it was fun to find out who voiced them (like Channing Tatum, Jonah Hill, Charlie Day or Billy Dee Williams). I felt this was a very imaginative way to tell a relatively common story. The twist at the final act gave it an additional dimension. There is something about Lego that evokes a special kind of nostalgia in older viewers like me. The 3D was also done very well, and was really appropriate for a animated concept like this one. I will not be surprised if this one lands among the Best Animated Feature Films of this year. 8/10.","
            8/10
            "
"namashi_1","10 September 2015","Animation Movies continue to mesmerize with 'The Lego Movie'. This is a Joy of a film, a roller-coaster ride, that you wish didn't have to end. Yes, its that superior a film!'The Lego Movie' Synopsis: An ordinary Lego construction worker, thought to be the prophesied 'Special', is recruited to join a quest to stop an evil tyrant from gluing the Lego universe into eternal stasis.'The Lego Movie' is visually dazzling & its heart touching narrative compliment each other, magnificently. The story about the ""special"" within us all, is told sensitively, although there are some mind-bending action bits here too. Its eventually a tale about finding the better in us, in a world, where the good is dying slowly, but surely. The message is important & its delivered with zeal.Phil Lord & Christopher Miller's Screenplay is delightfully entertaining. it borrows some of the most iconic characters of film history & pitch them in perfectly, without ever looking overdone. The Writing is super-strong at all times. Their Direction, on the other-hand, is dazzling. The Visual Effects are OUTSTANDING! A Special Mention for Mark Mothersbaugh's Score.Performance-Wise: Chris Pratt leads the pack & enacts the unlikely protagonist, with full commitment. Elizabeth Banks as Wyldstyle, is charming. Will Arnett as Batman/Bruce Wayne & Liam Neeson as Bad Cop/Good Cop, are the show-stoppers though. Morgan Freeman as Vitruvius & Will Ferrell as the villainous Lord Business, also leave a solid mark. On the whole, 'The Lego Movie' is truly a masterful tale. Two Thumbs Up!","
            9/10
            "
"ElMaruecan82","10 January 2017","Today, before watching an animated movie, the biggest question is ""which element of newness can it ever provide to eyes that have enjoyed hundreds of Disney (and even DreamWorks) classics?"" Indeed, as time goes by and the audiences get more blasé, the probability for an animated film to meet with commercial success might be relatively high, but whether it would stand the test of time and become a classic is another story. Each of the three 'Shrek' sequels did pretty well in the box-office, but compared to the first opus, they're all pretty forgettable.But this is an adjective I wouldn't use for ""The Lego Movie"" as it is a wonderfully crafted and smartly conceived animated comedy. It doesn't just bring enjoyment; it also possesses such a meticulous attention to little details that you wouldn't mind watching it again in case you missed something. Of course, the very premise of an animated movie made of Lego bricks is to challenge the eyes with as many details as one can spot in a simple blink, that's the essence of the Lego bricks, but the writers or creators didn't just take that high-concept for granted: the special effects are the vehicles to a solid plot and a story with a message that is positive without being dull or predictable.There's a moment where all the protagonists meet in Cuckoo Cloud Land (or was it Cloud Cuckoo Land)? And although some of the characters in the background add nothing to the story, the multiple cameos they form is simply irresistible (they go from Simpsons characters to Ninja Turtles or movies and fairy tales icons) you really have to push the pause button if you want to spot each of them. This perfectionism has nothing to envy on Disney's and reward our expectations as we don't expect uncluttered landscapes from a Lego film. And while it starts with Lego Land and the ominous President Business' building, it also gets out of the urban zone of comfort and make us fly over the vast Western canyons or enjoy a trip on and under the sea, the occasion for many cool effects simulating waves, smokes or clouds.Last time I had as much fun was with ""Rango"" and there's some kinship between the two films besides not being from Disney (or another 3D major studio), they have extremely appealing heroes. Rango had a certain edgy quality but Emmett (Christ Pratt) is simply too sweet for words. It's like the writers, instead of taking the wrong step and making the most possibly original character, went to the totally opposite trajectory, making an even more original one. This is a Lego-man who sees the half filled glass, who cheers at everything, because in Lego life, everything is built upon instructions, you can't do any wrong because that's an option life doesn't include. So nothing can upset him: the lousy one-joke sitcom, the overpriced coffee, his motto echoes the town's hymn ""Everything is Awesome"", a cheesy electronic pop hit that seems to come directly from the 90's. But under this cheerful front, Lego Land lives with an impending doom of evil President Business (Will Ferrell) and according to Vitrivirus, a wizard with the voice of Morgan Freeman, a chosen one will save the town (quite a prophecy, isn't it?), it turns out to be Emmett, but he needs to believe it to succeed. The film takes one of the cheesiest clichés but makes it the soul of its message and making something original out of conventional stuff is a stunt I didn't think was possible. And the is the kind of masterstroke I won't dare to spoil but let's just say, there comes a moment where even the comedic inventiveness can't drive the plot, and the writers need an extra push and we make the one discovery that gives its full meaning to the Lego, the reason why anyone can enjoy it.Speaking for myself, I stopped playing Lego when I got a new digit in my age but playing now with my daughter, I rediscover the appeal behind this simple but genius concept, interlocking brick one or another, creating more and more challenging forms, some with a meaning, others not, but avoiding dullness at all costs. There is something in Lego that is so boundlessly creative, that you can't help but feel the need to reinvent stories or scenarios within the limits of your mind's imagination. It's just as if the 3D animation existed before the screen version, and ""The Lego Movie"" was inevitable. And it is perhaps the only animation process where the temptation of portraying the 'player' was so strong, as if there was something subtly existential or deeply metaphysical in that quest for perfection. I had a foretaste after watching the Simpsons 'Lego' episode, there's indeed some great source of creativity behind these little bricks.Nevertheless, this quest for perfection is integral to the film's appeal, so is the need to deconstruct things for the sake of imagination. There was something in that Cuckoo Land that reminded me of South Park's ""Imagination Land"", and this is what the film is about: the power of imagination, and that includes imagining yourself as a hero, and being able to build and to decompose as well. And not to make the film sounds too philosophical, it is also a terrific comedy with superb characters, including Elizabeth Banks as the bad-ass WyldStyle (the jokes about her names never get old), a 80's Spaceman and Unikitty, a hilarious mix of Hello Kitty and 'My Little Pony' style unicorns.Honorable mention to the scene-stealing performance by Bruce Wayne aka Batman and a funny twist on the good cop/bad cop trope, well it's full of pop culture references, they're good but they're not even the best thing about the film.Everything is awesome in that 'Lego' movie and I'm looking forward for the sequels.","
            1/10
            "
