"jwUsernames","jwReviewer_Date","jwReviewer_Content","jwRating"
"aunggebi","30 January 2015","It is B level action movie. You can easily remind of other movies like this. Equillibrium, District 13, The transpoter and many other action movies with handsome, heroic guy. Keanu fights usually with guns in this movie. But it brings more body action into the shooting scenes, so it becomes more stylish. Great to watch it at home, not boring at all, if you don't expect something like 007 series with Daniel Craig or Born series. Keanu kept his face and body almost perfect, so he is still handsome and fit, good enough for the film like this. But the enemies have less impression. They are fine but not new, bit similar to villains from 90's action movies. I recommend this movie if you are looking for something easy and fun, and you've already watched every other great action movies like Born Ultimatium or 007 Casino Royal.","
            5/10
            "
"thesar-2","19 March 2015","FINALLY. What seems like 30 movies I've seen with Keanu, he's impressed me.John Wick is anything but original and yetit's thoroughly entertaining and just my type of bad guy/revenge flick. Not since 1999's Payback have I been this pleased. It's one of those movies I just finished and want to see all over again.Through and through, 90% of this has been done before, but since Keanu finally stood up and acted and since it takes no prisoners with its brutality and shameless acts of gun violence, it's one for the books. John Wick's the stereotypical badass retiree who's pulled back in on a whim and hell, everyone better watch their back. Reminding me a lot of both Payback and Eastern Promises, not to mention every single ""One- last-job-before-or-after-retirement"" plot, John Wick seems to separate itself with a Keanu you finally root for.Literally, there's not much to say but to enjoy the enormously action packed ride of John, his past, his presence and how many bullets it takes to provide vengeance. It's a pity this didn't make more at the box-office. I could see this on repeat and not get bored.* * *Final thoughts: Make your life complete with a double-punch/double- feature of this and Payback. (NOT the director's sh|t take of Payback. Just the original theatrical release.) Both are similar and will be having you root for the bad guy.","
            8/10
            "
"okakadogs","20 August 2023","My favorite action movie of all time. I've never watched the other movies in this saga, but this universe is sensational. Keanu Reeves as John Wick is wonderful. All the characters are spectacular. You can feel the panic in their eyes when they hear that John Wick is coming after them. And a wonderful thing this movie does (at least for me) is make us root for John Wick to end everyone. I know it's not just because of the dog that he went after them but that motivation is totally defensible for me who loves animals. This movie is very really wonderful. Keanu Reeves. Film Watched on August 20, 2023.","
            2/10
            "
"aharmas","26 October 2014","This is a welcome surprise. Who would have thought Keanu could play such a cool character with that much conviction? He does a perfect job here, displaying the right attitude and making sure every shot hits its target. It's all very simple. He's a grieving widower, and one arrogant and spoiled jerk comes and messes with him. By doing so, Wick is forced out of retirement because someone has decided to ruin his late wife's legacy.It might look like a silly vendetta to a few, but this is the type of film where there's not much need for emotional speeches and long flashbacks. It's pretty much understood this man is capable of delivering the goods while working, but he appreciated what an alternate lifestyle offered and regrets losing it. Spending a few years in retirement hasn't dulled his skills. As he hunts his prey, we see his exchanges with a few of the people in his previous world, and it's obvious that he occupied a special place there. He commands respect and is well liked/respected. He knows how to follow the rules, express his gratitude to those who help him, and ironically, he is well, a good guy in the middle of this netherworld.After the break-in in Wick's house, it becomes clear, he won't stop until he gets what he wants. In a perfectly cast part, we enjoy every step he takes seeking retribution. Yes, there's plenty of violence, but it's o.k. to see the good guy get even. He's not immortal or invulnerable. He gets pretty beat up a couple of times, but courtesy of a clever script, he manages to pull through, with the help of a couple of friends, and a very interesting deal near the end.It appears all is properly resolved by the end, buy we can only hope there's more of this quiet hero in the future. This has been a good year for this type of characters, and I'm surprised audiences have not quite responded. They're the ones missing on the some of the best thrillers of the year. Just go in, don't think too much, and enjoy.","
            6/10
            "
"mbor1800","31 October 2014","First of all, there are obviously two versions of this movie, as reviews sway from ""top notch"" straight to ""low bottom"", deadly missing the golden average. I watched the second version. The movie ""John Wick"" exploits the idea of bad Russians, and how they are put in place by a retired hit-man (John Wick). The plot is extremely straightforward and would be easily fit for a video- or a computer game without any changes. There are no intriguing twists or any interesting supporting characters. Humour is absent completely, but for one small joke. Plenty of music, which has good tempo but a bit loud, as if movie-makers tried to compensate for bland taste with high decibels. The mobsters are very well portrayed as degenerate half-wits with very basic vocabulary, making one to think that they really should be put in prison for mentally-challenged rather than brutally shot-up, quite frequently right in their silly heads. Speaking of which – shooting scenes are reasonably well orchestrated, but when it comes to hand combat, for some reason characters would forget karate, jiu-jitsu, kung-fu etc., and instead resort to classic wrestling which looks comical to me. All-in-all, I caught myself looking at the watch anticipating when the digits 23.00.oo appear. That's how interesting this movie was. And I do not understand why Keanu Reeves walked into this one. ********************FUTHER TEXT MAY CONTAIN SPOILERS*******************Just one thing – all killers/assassins in the state of New York know each other very well. The do not hide under false names in some forsaken motels/bungalows. No. They live large and, judging by John Wick, for years have been re-elected as local hit-man of the year. They also have this secret hide-out that happens to be a luxury hotel with all the perks, except a swimming pool on the roof-top (coming next year?). And they use this secret currency in a form of special coins (goodbye US dollar) that are so unique that no one can churn out a thousand of them per hour using basic stamping machinery and ruin their fragile assassin economy. Yeah. On top of everything police, FBI, CIA, and even NSA (now without Mr. Snowden, but still running strong) have no idea what is going on under their noses in the middle of New York. This was the moment the movie turned from bad action into bad comedy for me.","
            9/10
            "
"fredrikgunerius","16 August 2023","The world of hitmen and mobsters is revitalized in this razor-sharp hybrid of sizzling action and stylish noir evocative of the old hard-boiled detective genre. Keanu Reeves is perfectly cast as the icy, superhuman hitman who finds himself making an involuntary comeback in the business after his wife dies and he falls victim to a violent burglary. Enter mega kill-mode! Naturally, Wick's skill is way beyond belief, and the film is willing to make every kind of concession in order to satisfy its own vanity, but it is so forward-moving and enterprising that it almost makes you believe it isn't completely self-centered and intrinsically cliché-ridden. John Wick is great fun for those who think stuff like this is great fun.","
            8/10
            "
"MovieCriticOnline","19 September 2023","3 stars for mindless entertainment.... but that's it.You REALLY have to suspend your disbelief in order to enjoy this movie.The writing was cliche and lazy. Lead lost his wife, gets replaced by a puppy that gets killed by some random high class bad people that seem to have nothing better to do than to steal a guy's car.I'll take $200 for things that never happened.Lets ignore the fact that Wick killed probably 100 people in this film, but none of them were able to hit him with the many bullets shot at him.When they finally had a chance to kill him after he got captured, instead of just shooting him, they of course, had to bring him to some remote warehouse where the villain gives him a Bond speech (how many times have we seen this?) before using a plastic bag to kill him. Why didn't they just shoot him when they captured him? Why use a plastic bag?All they did was basically remake Taken, which at least was a bit more realistic and seem to have more purpose.Then the acting was pretty horrendous. If you enjoy some total mindless entertainment, then go watch. If not, there are way better action movies that don't take themselves too seriously.","
            1/10
            "
"djmotiv","14 January 2015","I'm a wee bit conflicted about this movie because I grew up with my Dad being a huge fan of the Dirty Harry, Charles Bronson genre of action films - typically the story would be: Innocent looking man loses wife or children or both to baddies, innocent looking man turns out to be a bad ass and takes revenge on baddies, kills everyone - the end. Now, if you traded the wife for a car and the children for a car, you would be spot on.It did seem a bit silly that all of this was over a, and I quote, ""f**king dog*. So much so that every time someone said ""f**king dog"" I found it funny.All of that aside, this movie is action packed almost from the start to the very end. Aspects of it were silly and unbelievable but that's in keeping with the nature of this genre of movie. I mean Mr Wick is shot, stabbed with a broken bottle, punched and beaten and survives pretty much unharmed, managing to get to a Dr at the Hit-man Hotel (aka the Continental) - but when he purposely stabs himself at the end, he almost kills himself in the process.In spite of all of that, I actually really enjoyed it even if it was a bit silly. Today's action movies almost seem to be far too constructed and effects ridden, this is good old dirty beat em up action - simplistic it may be, but thoroughly enjoyable still.","
            1/10
            "
"Med-Jasta","23 February 2020","The story is pretty good. Keanu is good but I found it rather boring. The action scenes aren't exciting, it's just Wick killing a butt load of people with little effort. There's an occasional over the shoulder move in there but this is basically an unexciting massacre. The body count had to be close to 100.I grew up with a 69 mustang so that was fun to see. And the dogs death is handled with taste.","
            10/10
            "
"JohnRayPeterson","15 January 2015","In his directorial debut (sort of- it's a collaborative effort) Chad Stahelski shows his skills. He had the experience for just this sort of action movie and delivered the goods.The script contained just the right amount of background play to set in motion the Taken, Rambo style 'you picked the wrong guy to f@ck with' adventure. Wick is a retired legendary hit man whose love for a good woman had rescued him from the dark side, that is until the dumb- ass son of a Russian mobster robbed his car and killed the only reminder of Wick's cherished wife.After 47 Ronin, I was eager to see Keanu in this type of adventure. Now admittedly the cast of this movie with the likes of Michael Nyqvist, Willem Dafoe, Adrianne Palicki, John Leguizamo and Ian McShane gives it panache if I may say so.The only lovable character was the puppy, a gift from his late wife, received the day of the funeral. As another IMDb reviewer said, if someone killed my puppy under such circumstances... I'd go Boogeyman too; but who has skills like Wick.There is much collateral damage in this movie and the body-count is in the neighbourhood of 80 (78 according to one source and 84, another).On the downside, I thought Wick's resilience to gunshot wounds and knife injuries (one self inflicted, but that's complicated to explain) was a bit of a stretch.Saw several good action movies in 2014 and this late October one was entertaining, if of course you like the genre; I like most all genres.On a final note: Avoid hotels by the name of 'Continental'!","
            9/10
            "
"weatherbain-150-455883","3 November 2014","Based on the reviews I read in here, I was expecting much more from this movie. Yes the movie is action packed, but very much over done. Certainly not a quality movie by any means, with a weak story line. It was like being in an action game where the lead had unlimited lives....he is invincible no matter how many times he is shot! There are assumptions that we will understand the rules of the ""committee"", but these are never explained and we are left with very few answers the end. In light of the over the top and often excessive violence and killings, I must say Keanu Reeves' performance is the only highlight of the film. Overall however, a very weak story with unnecessary and excessive violence, and a plot that is more suited for a PlayStation game.","
            7/10
            "
"secondtake","24 November 2014","John Wick (2014)I thought the weak point of this movie would be Keanu Reeves, since he's not the best actor in town. But instead it was the monotony of the killing, on and on, all at the same pace, with hardly a break.I'm not complaining about violence here—that's what this kind of revenge movie is all about. Reeves plays a guy who used to be a trained assassin, one of the best, and he has to come out of retirement (you'll see why in the first ten minutes). And he is now after some of the people he once worked for, so they are formidable foes, and cruel.But that's about it. The process of getting even takes up the rest of the movie, and there are the necessary clubs and warehouses, the muscle car antics and the flipping and diving while shooting your guns with perfect accuracy. Mostly there is just shooting and fighting and fighting and shooting. So, how to make a movie that has this one-liner idea work? With psychology, cleverness, surprise, and even failure sometimes. You won't see any of that here. You also won't see humor. By luck, the preview for my showing (in a theater) was ""Die Hard,"" and what a reminder of a terrific action movie, where one guy has to kill a whole slew of enemies. But there it's funny, there are constant twists and turns, and you actually care about the hero.That's another problem here: you care about Mr. Wick because he was wronged at the start, but he's not a sympathetic person. You just don't really worry about him. I suppose you know he won't die right away, so you are ""on his side"" more or less, but not with much investment. In a weird way, some of the villains were more compelling than Wick—the main bad guy is a terrific Michael Nyqvist (who is always really good), and Willem Dafoe plays a terrific small, key part.I might have left a movie this straight forward if it weren't for one thing—it's photographed well. The camera, light, and generally the editing, are all elegant and almost pretty, in a good way. The sets are filmed in a logical way that moves you through the spaces through the eye of the camera with confidence and dark beauty. Good stuff, and it had my eyes glued.Now give the thing something more and glue the rest of me.","
            7/10
            "
"Hellmant","29 October 2014","'JOHN WICK': Four and a Half Stars (Out of Five)Shoot-'em-up action flick starring Keanu Reeves as an ex-hit-man who comes out of retirement to avenge his dead dog. It was directed by first time feature filmmakers David Leitch and Chad Stahelski (former stuntmen and fight coordinators) and written by Derek Kolstad. The film also stars Michael Nyqvist, Alfie Allen, Dean Winters, Adrianne Palicki, Ian McShane, John Leguizamo and Willem Dafoe. It's a pretty cool and stylized action flick that's also a great comeback for Keanu Reeves.Reeves plays John Wick; a former hit-man who retired when his wife, Helen (Bridget Moynahan), became deathly ill with cancer. As he's grieving he receives a posthumous gift from her, in the form of a puppy named Daisy. It's explained, through a letter from Helen, that she wanted John to have the dog to help him cope with her passing. John quickly becomes attached to Daisy; so when Russian gang members break into his house and kill the dog, as well as steal his '69 Mustang, John decides to come out of retirement to get revenge. Nyqvist plays the father of one of the gang members, as well as John's former employer.John Wick is about as much of a badass action hero character as I've seen in a film and Reeves is great in the role. I think Reeves has gotten much better, as an actor, overtime; probably especially because his career took a pretty big downward turn recently. It's great to see him back in action and cooler than ever. I think filmmakers will do a lot more with this character as well, he's already a part of the video game 'Payday 2', and a film franchise seems very likely. The movie is also a great showcase for Leitch and Stahelski, as directors, and I can't wait to see more from them too. If you're an action fan you definitely don't want to miss this one!Watch our movie review show 'MOVIE TALK' at: youtu.be/N3ywdecCULw","
            2/10
            "
"Victor Gil","30 January 2015","This is one of those movies that makes you get out of the theater and you want to kick someone. It's full of action, no excessive drama, no background history asides from the fact that everyone has to be scared of John Wick just by pronouncing his name just like ""The Boogieman"". Keanu Reeves is perfect for this role, no expressions, no feelings, just a couple of lines and shooting a lot of bullets, very precisely by the way, the real acting is on the hands of Willem Dafoe (sort of). Alfie Allen is kind of on the same role as the one in Game Of Throne, sorry but I have to say it, I watched him and can't stand thinking about how he's useless here too.For an action movie I really like this one... and I'm thinking who's better John Wick or maybe Bryan Mills?","
            1/10
            "
"benuk","23 October 2019","I saw John Wick for the first time last night. I was amazed - I mean - what the absolute? After the set up, it was basically one violent murder session. The 'set up' was the most perfunctory excuse for what followed possible. Laughable doesn't begin to describe it. If this is what scriptwriting has become then I'm getting into it. It is just incredible. And what follows completely avoids any kind of human description - they aren't people at all. Just automatons with no discernable personalities heading towards violent oblivion or an ostensible human dishing out said violent oblivion. And I like cheesy action films. Amazing. I sent this to a friend and he thought I was being postive. Which I suppose makes sense because what I describe is, I suppose, the film's strength in some people's eyes. I wasn't - I thought it was TERRIBLE.","
            8/10
            "
"0maro0","22 February 2020","Just not believable. Terrible Russian speech breaks the picture and leaves me laughing. Baba Yiaga, lol. Idk about English speaking audience, but for me all of this just looks very silly. Couldn't even finish watching it. It couldn't be so hard to find actors who are russian or can speak Russian, but I guess if you base significant part of your film on other culture/language, research isn't so necessary after all. Or is it?","
            1/10
            "
"Dark_Lord_Mark","26 January 2015","This was an unexpectedly good movie starring Keanu Reeves as John Wick.A hit-man/gangster that was out for five years and simply wanted peace. Unfortunate or happenstance, he crossed paths with a nimrod.Spoiler free version is just see it. Lots of stunts and action and it is well choreographed. Really nice shooting scenes which is filmed really well and the movie is well paced. Nothing seems forced down the throat, it's the quintessential guy movie.If you like 80's/90's action flicks, this is a must see.I gave it 10 of 10....very surprisingly and good action movie. Must see!","
            7/10
            "
"851222","26 January 2015","Greetings from Lithuania.""John Wick"" (2014) is a very cool action flick. It has Keanu Reeves in a bad-ass role, playing an unstoppable hit-man who goes on a vengeance road after his dog is ... well i won't spoil it. This flick is very well constructed - great action scenes, lots of blood (but not gore), simple but strong central character and a lot of bad guys to shoot at. John Wick had probably more head-shots in this movie than i got in a ""Call of Duty"" - that's how you make sure that bad guys are dead for good.Overall, ""John Wick"" is a very enjoyable action flick. It has over the top central hero, very simple but cool story, great action scenes. Do not take it to seriously and if you enjoy action movies, ""John Wick"" is not to be missed.","
            10/10
            "
"brunovanael","18 August 2021","Gratuitous violence, the glorification of crime, a story that easily fits on a post-it, but one exciting thrill ride.","
            8/10
            "
"peterp-450-298716","13 February 2015","""John will come for you and you will do nothing, because you can't do nothing."" Do you hate complicated films where your brains hurt while trying to keep up with the story ?Do you start to drool spontaneously when watching endless violent action scenes? You answered twice ""Yes Sir""? Well,then ""John Wick"" is cut out for you.Because the story is simple in a way that even your goldfish can follow it easily and it it contains a concatenation of rough,cruel liquidations.I never thought that stealing a Ford Mustang and wringing the neck of a puppy could result in a never-seen,raging revenge.John Wick thought otherwise. This retired former hit-man leaves a bloody trail in New York,after they steal his car and kill his dog,donated by his deceased wife.The fact that this is committed by the son of his former boss,who's from the Russian mob, doesn't impress him.Instantly he demolishes his basement floor.Years ago,he buried his whole arsenal of weapons and other adult toys there,just to forget his past and change gear in his new life.Digging up Keanu Reeves again,certainly wasn't a bad idea.The man has a natural talent for portraying an icy cool killer.His emotionless visage is perfect for the role.And the less dialogs in a film,the better.It's not the dialogs, he has to struggle through,that gives him the appearance of a cold-blooded assassin,but his stoic calmness and the expressionless gaze does.He demonstrated this already in ""The Matrix"" and also in ""47 Ronin"" (wrongly considered by many as a pulp film).If you want to keep track of the number of victims,you should purchase a large oversize abacus.I enjoy a straightforward action film,with not to much frills and where the emphasis lies on mindless brawling and shooting.It shouldn't be serious all the time.Although after a while I felt kind of impassive about it and sank deeper into my cozy seat to watch it with such an infinite look.I compared it with a ride on a wildly popular, matchless roller-coaster.During your first ride,you feel the adrenaline rushing through your body and you rush back to the entrance full of enthusiasm just to experience that indescribable feeling once again.During the tenth drive you're sitting in it very relaxed,looking around in search for the next challenge. That's ""John Wick"" in a nutshell.A flashy roller-coaster ride that starts fiery and impressive,but as the journey takes longer,the euphoria fades away slowly.In terms of genre, it's ultimately of the same level as ""The Equalizer"". Only the latter contained a bit more story, I thought. In ""John Wick"" you have a stolen car and a dead dog on the one hand, and on the other hand an increasing number of corpses. That's it. And yet it's pure enjoyment witnessing the flashy action and shown coolness. Chad Stahelski, a former stuntman (interesting fact: he was the one who played Neo in ""The Matrix"" during dangerous scenes), doesn't beat around the bush and creates a series of precisely choreographed fight sequences. Without much effort he succeeds in giving Reeves the reputation of a Boogeyman. But as Viggo (Michael Nyqvist) remarks it himself: ""John is not exactly ""The Boogeyman"". He's the one you sent to kill the 'Boogeyman."". And this top assassin moves in a swirling way to eliminate his enemies with a well-aimed shot. His shooting technique is slightly off-track and looks somewhat forced. But that doesn't keep him from transforming the place where he appears, into an outright shooting gallery.There were some pretty surreal scenes which impressed the imagination. Like the ""Continental"" hotel, the professional cleaning team and the reputation of John Wick in itself and his cult status hovering around him as an aura. ""The Continental Hotel"" could serve as a scenic design in a future Batman movie, which bathes in a real cartoon atmosphere. It's a famous meeting point for notorious assassins, with its own monetary system, an unnaturally friendly desk clerk that meets with all the needs of the guests and a resident physician who can be called for when guests return reasonable damaged after taking care of their ""business"". There is only one golden rule which is mercilessly punished after being violated. It's prohibited to arrange matters in the hotel itself.For most of the supporting acts you can safely say that there's a total lack of character development. Most are no more than a shadow in this film, who come momentarily into view and then they're mercilessly being slaughtered. But it seems as if they are suffering from anemia, because despite the continuous aggression, there is very little blood splattered around. So only Michael Nyqvist, Alfie Allen (Iosef) and Willem Dafoe remain. Michael Nyqvist wasn't very convincing as Viggo and was at the times too theatrical. Alfie Allen played the well-known roll as the conceited, imagining-himself-being-untouchable son of a criminal who as he starts to realize what predator is hunting him, needs a larger size Pampers. Not that very original. And Willem Dafoe tries, but gets little screenplay to play himself into the spotlight. So Reeves is the only one to steal the show. And he does that with panache and style. Once he slips into that measured black suit and swings a duffel bag full of toys for adults in it, over his shoulder, he walks confidently towards you while the camera zooms in. And then you can brace yourself. Magnificent.""John Wick"" isn't exactly of a high level in cinematic terms but does meet the requirements of the targeted audience. A pure action movie full of spectacle. Unfortunately, there are rumors that the sequel ""John Wick"" is planned already. I admire Reeves that he's still capable to portray a character as Wick at his age of 50. He can take that kind of personage to a next level, but I'm afraid that this sequel will be a weak carbon copy from the original.More reviews at http://opinion-as-a-moviefreak.blogspot.be","
            9/10
            "
"tonyhaines-spp","14 November 2014","If you took this movie back in time 30 years, it would still be a bad movie. There are two story lines here; my review of the movie and how this movie got a 7.9 IMDb rating.First the movie. There was a early moment in the theater when I thought maybe this is all a gag, a clever gag. Kinda like those mini feature spots reminding you to turn off your cell phone. They do a nice job on some of those in theater messages. Perhaps this will evolve into a Djangoesque tongue in cheek graphic novel. All this critical analysis language doesn't belong any where near John Wick. On location the actors must have looked at each other and said...really? Or maybe, my agent said we are supposed to shoot a movie today. Any movie fan with an eye for action movies will notice the poor fight scenes. I counted 6 identical fight moves straight out of the 70s cop shows on TV where somebody is flipped over using one arm and a throw. Every fight scene was the same fight. Movie audiences have evolved quite a bit since the 70s. John Wick is predictable, it's heartless, it's painfully slow with no shortage of terribly awkward dialog. I am done throwing fancy words at this mess.Now the rating. I have relied on IMDb for solid reviews for many years now. For the most part I have agreed with their rating, I could argue a half point here and there but 4-6 points? My guess is the John Wick studio has found a way to game this system. Crazy idea, right? To me it's more plausible than the plot line of the movie. Somebody at IMDb should look into this because it would be our loss if this gets out of hand.","
            1/10
            "
"klasol","17 January 2019","A man's dog is killed. So he goes out and kill 1000 men and get a new dog. That is about it. The movie is so bad, that it's a stereotype of a movie. The acting is non existing, the dialogues low and the music loud. Reeves is a great gymnast, but no actor. Defoe has expired and Nyqvist can't even fake a russian accent. This is more like a homage to video games and American V8 engines than a story. Unfortunately it netted more than 100 million dollars, I see, which explain why they will probably never give up throwing these things out in new versions for as long as the market can stomach them. I am sorry I watched it, will be more careful next time, promise.","
            10/10
            "
"DareDevilKid","21 November 2014","Reviewed by: Dare Devil Kid (DDK)Rating: 3.8/5 stars""John Wick"" is a rousing action thriller of the sort rarely encountered in theaters these days. The once popular genre, which was headlined by the likes of Stallone and Schwarzenegger during its heyday, has been a dying breed during the past two decades. Occasionally, a movie like ""The Raid: Redemption"" (or its bigger, better sequel, ""The Raid 2: Berandal"") comes along to satisfy fans with a penchant for R-rated violence, but the growing desire for PG- 13 action and the emergence of computer generated imaging has rendered old-school brutality obsolete. Then along comes unlikely candidate, Keanu Reeves, to ignite the flame once again. For those who crave no-holds barred action, this may be among the best the genre has to offer.On paper, the film is generic as generic gets: John Wick's (Keanu Reeves) wife dies of an unnamed disease (Bridget Moynahan plays the role, such as it is), and her final act on this world is to arrange for a beagle puppy to be sent to him. This is a beautiful, lifesaving act, and it lasts for two days, until a vile, boorish Russian named Iosef (Alfie Allen) wants to buy Wick's beautiful muscle car, and Wick isn't selling. So Iosef and his thug buddies break into Wick's home, steal his car, beat him bloody, and in a moment of pique, kill the dog. And it is this, which he later describes as the theft of the last hope he had in the whole world, that pushes him into a blood rage. John Wick, you see, is a retired assassin. And Iosef is the son of Viggo Tarasov (Michael Nyqvist), the Russian mobster who used to be Wick's employer. And those are all the ingredients we need in a film about revenge, a cool action hero, and all-out-war against the Russian mafia.There isn't much of a plot, but that's often the case with revenge- based tales. Movies of this sort aren't about narrative depth, they're about taking a hero through an increasingly difficult series of bad guys until he comes face-to-face with the Big Boss. ""John Wick's"" greatest strength is its relentless momentum. The film doesn't have a lot of down time. It offers occasional breaks, including some amusing scenes that take place in a hotel where guests aren't allowed to ""talk business."" (Breaking that rule, it turns out, can have serious consequences.) For the most part, however, ""John Wick"" knows what it is and is unapologetic about it. This is a kick-butt action film with no pretensions of being anything else. There is a short dialogue about karma and God but it's neither deep nor long.Reeves is in many ways a perfect choice for the lead. When the movie begins, Wick is in a deep funk following the death of his wife. His emotions have been shut down and remain thus for most of the film as he goes about his work. Reeves has never displayed much range; his screen presence has always been his strongest asset and it's in abundant evidence here. Wick is more of a force of nature than a fully realized character. Reeves has sufficient backstory to make him sympathetic but, thankfully, his past is murky. In fact, ""John Wick"" presents the best platform to showcase Reeves' enigmatic screen presence - there are vividly choreographed fights, a suave black suit for the hero, and no greater moral purchase on our rooting interest than that he's Keanu Reeves, and the bad guys killed his dog.The film was co-directed by former stuntmen/coordinators Chad Stahelski and David Leitch (DGA rules mandate that Stahelski be given sole official credit). They show a good understanding of how to frame a fight and never resort to the kind of rapid-fire cutting that reduces an action scene into visual confetti. The six or seven big action scenes feature a sleek, chic gusto and the shoot-outs are brutal and shot in longish takes rather than chopping them into short frames. The few one-on-one fights are well choreographed, and are neither overtly short nor do they drag on forever. There's a fantastic car chase scene too, and fortunately it doesn't look derivative from erstwhile action films and is constricted within the right time frame. Leitch and Stahelski may not be on the short list to direct the next Jane Austen adaptation. but they know their stuff when it comes to action films, and that's all that matters.""John Wick"" is the kind of ferocious B-movie fun some of us can't get enough of. Reeves, always a nimble action presence, delivers the goods and then some. Chad Stahelski - Keanu's former stunt double - and David Leitch - Brad Pitt's former stunt double - direct with a flair for movement and framing that slams you right into the fights, stabbings, and shoot-outs. From home invasion to a hotel for assassins, the stage is set for all hell to break loose, and that it does. Moral nourishment is not on the menu, but some memorable one-liners are. Juicy supporting performances from Michael Nyqvist and Alfie Allen, and terrific cameos from Willem Dafoe, John Leguizamo, and Ian McShane are ample compensation in the acting department. The kick of ""Wick"" is not to be denied. It's as close to a pure adrenaline rush as you're likely to find at the moment. What else does an action movie need? Action movies are about movement, and ""John Wick"" pursues that goal with remorseless verve.The film is also wickedly funny, with a dry wit and upended expectations not only about the character himself but the underground world that sucks hims back in. ""John WicK"" is a carnivorous thriller that wonderfully displays the immeasurable depth of one man's thirst for retribution. Stylish, thrilling, and giddily kinetic, John Wick serves as a satisfying return to action for Keanu Reeves, and what looks like could be the first of an immensely entertaining franchise.","
            1/10
            "
"thechocolatebird","4 March 2015","So the whole idea of justice and epitome of first-world problems goes to the fantastic plot of invincible Kiwi Reeves who starts going all crazy killing everyone in the world over a car which he gets replaced for free and a dog he didn't really like and had around for two days. Despite the fact that the dog was a gift from his freshly dead wife, he chucked some blankets on the floor and took it off the bed. The same man who had no feelings over the dog had no feelings expressed when his best buddy got killed. Are viewers supposed to root for such a spoiled rich boy. Are viewers supposed to believe that a hit-man incapable of loving can all of a sudden switch to his cell phone video of his wife and think about her from time to time? Kiwi's character is full of contradictions like the movie for a 5 year old.","
            9/10
            "
"Rendanlovell","4 November 2014","John Wick follows Keanu Reeves a retired hit man who's wife pasted away. He receives a dog as a final gift from her. On his second day with the dog he encounters thugs who want his car. He tells them no and wakes up later that night only to be beaten senseless, his dog killed and his car stolen. And he wants revenge.Everyone knows that Keanu Reeves doesn't have the best acting range. But when a roll is prefect for him he shines. And this is exactly what happens in John Wick. The film tiptoes the fine line between being ridiculous and over the top. As much killing as Keanu does is basically to get revenge for his dog. Which is borderline stupid but Reeves really sells it. Totally investing in his character and motives. Another notable actor here is William Defoe. While I thought his character was underused he wasn't underwritten and that was a nice little thing.The world that this film creates is intriguing and brutal. As reeves travels through the criminal underworld various phrases and items are used that are totally foreign even though this is set in New York City. Characters presumably know what they mean and don't bother explaining them to you. This is for the best. Being in the dark on the little things that make the world what it is, is gripping. It makes the world feel like it's been inhabited for a long time and that sets the film apart from the majority of action flicks. As lush as the world is, shoddy camera work struggles at bringing it to life on screen. The focus seemed to be forgotten in a large number of shots. Some shots don't even seem to be focused. The action scenes look great and are void of the annoying blur but in between these tense action sequences the camera work seems amateur at best. Maybe it was just the Theater I was In I don't know. Another problem for the movie was it's ending. Well I'd go as far as to say the entire 3rd act. *SPOILERS* Not much of a spoiler as we all knew Reeves would have his revenge. But after he takes his vengeance the movie limps on for at least another half hour. Attempting to tie up loose ends was a bad call here. It feels like the film climax and then says oh crap we forgot about him! And tries to deal with that and it goes through this 3 or 4 times. This is silly to say with an hour forty minute run time but the last half hour just feel unnecessary and overlong.Overall John Wick delivers on super cool action, a surprising level of emotional, and a world that feels real. John wick is a fine piece of cinema.","
            6/10
            "
"masonsaul","16 May 2019","John Wick is honestly pretty close to perfection as far as action movies go. A tight 90(ish) minute film that takes a brutally simple and emotionally engaging plot, adds some fascinating world building and delivers some of the best action sequences Hollywood has produced in a while, all on an impressively low budget.Keanu Reeves is perfect as John Wick, fully committed to the physicality of the action scenes and as well showing John's emotional vulnerability between headshots. This all culminates in a terrific speech that confidently announces the return of one of Hollywood's best and nicest leading men.There's also a strong supporting cast here too. Willem Dafoe is effortlessly cool with an understated friendship with Reeves. Michael Nyqvist does an amazing job at showing the fear that John Wick instils in people. Finally, there's Ian McShane and John Leguizamo who are instantly likeable in their small roles.Chad Stahelski's direction is phenomenal, it puts most other Hollywood action films to shame with its endlessly impressive and always comprehensible action. It's also extremely stylish with fight scenes drenched in neon and rainfall.The music by Joel J. Richard and Tyler Bates is amazing, creating an instantly iconic main theme that's equally good at conveying the fear of John Wick as any of Michael Nyqvist's speeches. There's some needle drops here as well that really work tonally and stylistically.","
            7/10
            "
