"jprUsernames","jprReviewer_Date","jprReviewer_Content","jprRating"
"hXz0r3","22 September 2019","Today, I find nothing much in this movie by Steven Speilberg etc. team.
But, those days very exponentially marvellous looking at those Dinosaurs (of different species) come alive on screen, was a kid during that period.I think Avatar, doesnt even matches this category at all.
(Sorry, but this thing takes hats off score as a kid for me. Avatar can be my second best, though the ratings here are only 10/10)). hope they enhance.I rated this movie long time back, and deserved to be reviewed until today, as the same upholds my childhood likeliness.","
            10/10
            "
"shariq_forever","3 January 2009","I watched this movie when I was kid. I went to take the form for entrance exam for my 9th grade, and while I was returning home I saw that Jurassic Park is being shown in a Cinema Hall. And I had seen some of the promos on star TV of that time, and discussed with some friends and relatives that this could be a good movie. So I went to see the movie at the age of 13. I saw the film and enjoyed the scariness a lot. Then after that several times whole school with teachers went to see the film and whole family went to see the film. And remained in my memory as an unforgettable event. Now whenever I see this film on my DVD with a lot of clarity and surround sound it still gives me the same enjoyment and thrill as it gave me when for the first time I saw it. This movie Jurassic Park is marvelous and I love it and I love it a lot. I do not want to say anything more, just I love it.","
            8/10
            "
"wisemantonofski","4 February 2019","A game-changing masterpiece in film, Steven Spielberg brings dinosaurs back to life before your eyes with ground-breaking special effects and a genius for intense and exciting film-making. Its not just about having big scary monsters stomping around, Jurassic Park gives the dinosaurs a transfixing majesty and wonder that its sequels would fail to grasp. This film goes beyond being just another monster movie, with more character and more heart than any others in the genre, dealing with themes of ambition and the consequences of playing God with nature. With an exceptional score by the legendary John Williams which further drives home the feelings of swaying melodic wonder, this film may well be the reason I have such high standards when it comes to film.","
            10/10
            "
"Dragonborn64","8 August 2020","As far as tension and scares the first film in the franchise is still the best. For being almost 30 years old the CGI is still top notch. At a recent rematch I still find myself holding my breath when the T. rex first shows up. It's terrifying! Nothing else in the film matches it but the whole thing is still a great thrill ride.","
            9/10
            "
"valfrae","13 September 2021","Oh, the nostalgia everytime I watch this movie, I've rewatched a hundred times over & it never gets old.One of my favourite scenes-
Ian: God creates dinosaurs, God destroys dinosaurs. God creates Man, Man destroys God. Man creates dinosaurs.Ellie: Dinosaurs eat Man...Woman inherits the Earth.The background score, everything just hits you different. LOVE Alan so much, he reminds me of my dad.","
            10/10
            "
"Movie Nuttball","11 February 2003","This film is great! Its sequels are great but this is the one that started it all!Sam Niel,Laura Dern,Jeff Goldblum,and Richard Attenborough played there parts very well!The Dinosaurs are incredible and I couldn't believe it the first time I saw it!If you like Dinosaurs then heck out Jurassic Park!","
            4/10
            "
"talarisw","16 April 2013","Steven Spielberg is one of the greatest directors of all time and is the king of Hollywood blockbusters and this is one of his greatest movies. What I love about Spielberg is how he's always thinking outside the box and doing things nobody else has and in result he had made one ground breaking movie after another making other similarly themed films look absolute in comparison. I mean only Spielberg would have the for-site to license the Jurrassic Park book by Micheal Crichton even before he finished writing it and long before it was released because he saw the movie potential. Before I get to the Dinosaurs let me talk about everything else. First I must praise Micheal Crichton for his brilliant concept. The story gives a plausible(granted not realistic) explanation to how people could resurrect Dinosaurs. The movie starts off strong as in a classic horror movie fashion we get a glimpse of a dinosaur, a Velociraptor attacks a human but we never see the Raptor it self. With a movie like this you expect the first fifteen minutes or so to be exposition and set-up and you expect that we have to wait awhile until we some Dinosaours. Well, all that's true but it's not a problem because Spielberg keeps the pace moving so nicely, it's never boring or slow. Spielberg just gives enough exposition that he needs to give, a old billionaire named John Hammond has a park with real life Dinosaurs and to please a lawyer who represents his sponsors he persuades two archaeologist and a scientist to come along to check it out and give their approval and our story begins. As great as the special effects are you need a great story and great human characters. The story is simple but well done, it makes a ludicrous premise of Dinosaurs being brought back from the dead into 1993 believable and that's because the movie takes it self seriously it's never comes off campy or ironic. The story is similar to Frankenstein as they show what happens when ""man"" play God. I like all the characters here. Richard Attenburrough is perfect as John, the old man who created the amusement park. I like that they never make him a bad guy or even crazy just misguided and you even feel bad for him when his amusement park dosen't go the way he hoped. The more or less hero of the story is Alan Grant played by Sam Neil, an up-tight archaeologist who dosen't like kids but later does after protecting John's grandkids from Dinosaurs, nothing really deep but a good fit for this story. In fact none of the characters are really deep but still strong characters capable of holding this movie. I like Laura Dern as Ellie, Alan's partner who's tough and fearless. Wayne Knight gives a memorable performance as the double crossing Dennis, who is the only true villain. Samuel L. Jackson is also good as one of the guys who operate the park. My favorite character might be Dr. Ian Malcolm played by Jeff Goldblum. I like how John described him as a ""rock star"" with his shades and leather jacket. It's hard to explain but Jeff is just so appealing and he brings some humor to the movie. I also really like Bob Peck as the expert hunter Rob Muldon, he's like the Van Henlson to Dinosaurs. I like his rivalry with Raptors and I feel bad when he's killed by one of them, I wish he would of came back for a sequel. But the best thing are the dinosaurs themselves. The special effects are amazing, especially for 1993. The Dinosaurs look real and I don't mean real looking for a movie I mean they look like their really alive. Nothing mechanical or cgi looking about them. The special effects are groundbreaking and some of the best in movie history. First we see the Brachiosaurs, which looks great as well as seeing a Triceatops which looked all too real. but the real moment comes when we see the most iconic Dinosaur of them all the Trannosaurus Rex, who emerges after the power goes out and Ian, Alan and the kids are stuck in a car in front of the T-Rex cage and it attacks the kids in the car. The special effects on the T-Rex looks frighteningly real and I love it's roar. Later the T-Rex chases Ellie, Rob, and Ian in a car which was also great. I also love the Dilophosaurs who attacks Dennis, I love how it's like a rattle snake but unfortunately the real Dinosaur dosen't have the neck fan or shot venom, that was created by Crichton but this is way better. The best Dinosaurs are the Velociraptors, no one even heard of them until this movie. That's one of the great things about this movie is that they introduced us to some lesser known Dinos. I understand for theatrics Spielberg had to make the Raptors more menacing then they really were but he did a great job at making the Dinosaurs be animals acting by instant not monsters. I love how intelligent they made the Raptors. The Raptors are my favorite Dinosaurs in this movie and they steal the show. Although the ending was a little contrived when the T-Rex came out of no where to save ""our heroes"" from three Raptors, two of which some how escaped a locked room but it made for a good climax any way. I also love the score by the great John Williams. The is def-intently the greatest Dinosaur movie of all time.","
            10/10
            "
"danmossman","19 June 2022","Spielberg has always been known as someone who can deliver wonder. The sense of awe you get at times in this film, is the reason none of the seques have been as good. None of the other films have given me goosebumps like this continues to do. The concept is so fantasticly original in this one, and it becomes genuinely frightening. Most of the effects are still ridiculously good too. A true classic.","
            10/10
            "
"Deviator-4","16 August 1998","This movie is my favorite thriller of all time(Jaws takes close second). Maybe it's just the kid in me, but I loved watching the dinosaurs. The acting is good, and the special effects are seamless. Go see it if you havn't.","
            10/10
            "
"Red-Barracuda","13 December 2015","With Jurassic Park, director Steven Spielberg made a film that became the new yardstick for cinematic special effects back in 1993. In fact, the ground-breaking CGI work used here to bring dinosaurs to life before our eyes is still very impressive over twenty years after its release, so you can only imagine the impact that they had back in the day. Truthfully, the effects work is by far the most impressive thing about this one, as it has a fairly by-the-numbers story-line populated with clichéd characters. A select group of people are invited to an island retreat owned by a millionaire who has been able to recreate living dinosaurs from ancient DNA. It's here that he intends to give an early tour of his planned new resort, Jurassic Park; the trouble is that things go wrong and the dinosaurs go on the rampage.This was adapted from a Michael Crichton novel of the same name. I've read the book and seem to think that the novel and film are at the very least broadly similar. It's the second film from the pen of Crichton based on the very specific sci-fi idea of a futuristic high-tech amusement park going fatally wrong, leaving the humans to battle the dangerous inhabitants of the park; the other film of course was Westworld (1973), where it was deadly androids who filled the same roles as the dinosaurs do here. Both films speculate on questions regarding the dangers of man tampering with science in careless ways. For me Westworld is the better film but I do still enjoy Spielberg's dinosaur blockbuster. The effects work are worth the price of admission alone of course but the story-line and characters, while being extremely standard, do still get us from A to B and allow us to seamlessly experience the deadly wonders on hand in the park. It's a pretty solidly entertaining piece on the whole and one of Spielberg's better out-and-out popcorn movies.","
            9/10
            "
"marshalskrieg","12 November 2022","Pure spectacle- no depth. This movie is famous due to it' s then ground breaking CGI dinosaurs. The plot is thin , there is no character development arc, no moodiness, no real atmosphere, not one single plot twist. Typical Spielberg. Despite this criticism, Jurassic Park is good entertainment for the entire family. Basically this is your typical monster-on-the loose flick, cloned dinosaurs chase a variety of humans, most of whom are sympathetic, while some of the victims are decidedly rotten. The CGI and the puppet animatronics really is the meat of this movie, no pun intended. This was the bleeding edge in film special effects in 1993 and holds up very well today. But overall the film is predictable, could have been better.","
            8/10
            "
"SnowLeopardMaster","9 May 2018","I only watched this movie recently, over the course of this summer, for the first time, and instantly fell in love. Now, I'm a total nerd for the entire franchise, and love this movie so much!Sure, the science is flawed in several ways, from inaccurate dinosaurs to impossible methods of cloning, but it's all worth it when you hear the T-Rex roar. The action scenes were exciting and thrilling, and a high death toll proves that Spielberg wasn't kidding around with this movie. Though the effects are a bit dated now, the dinosaurs still look beautiful and amazing. The acting was great, the setting was beautiful, and the characters, especially Jeff Goldblum's Ian Malcolm, were memorable and fun. A truly amazing, groundbreaking movie.","
            9/10
            "
"tejaspaleti-27553","15 June 2022","I personally love this movie because it's the perfect movie for young boys to watch. I mean, who doesn't like dinosaurs? This film popularized the T-Rex and Velociraptors, two of the most fearsome dinos. Exciting and fun throughout, someone has to be a really boring person not to a kick out of this movie.","
            10/10
            "
"katieadeliawagner","17 June 2022","I mean do people really need to read a review to watch this movie? It's fantastic in every way. It was absolutely innovative for it's time. Fantastic acting and casting. The magic and awe that this movie instills in people when they see it is amazing. It's an epic classic through and through. If you haven't seen it, you have to. It's Spielberg at his absolute best. And Michael Creighton sure had an amazing mind.","
            9/10
            "
"galileo3","12 August 2006","Steven Spielberg's 'Jurassic Park' smashed box office records upon release and became the highest grossing film at the time...The film is a technical triumph...A great blockbuster, that is not mindless, that does not bore you with loud bangs and explosions every seconds...This is Spielberg proving his rightful title as the 'King of the Blockbuster'.Jurassic Park is a fine example of Spielberg's imagination and creativity. Mysterious locations, shady characters, fierce dinosaurs and a futuristic theme park. Michael Crichton's novel turned into a truly great film.Richard Attenborough has managed to clone dinosaurs safely and put in them in a gigantic theme park where visitors can come and enjoy the prehistoric animals. But nature finds a way and the dinosaurs escape ...9/10","
            9/10
            "
"jay_amer","20 April 2022","This film came out when I was a kid and I remember watching it on vhs and I watched it over and over again, must be Hundreds of times and I cannot get bored with this film. Its one of my favourite Dinosaur movies of all time including one of the best Dinosaur Films. This film everytime brings pure nostalgia to me after watching it so many times over my entire life span and I still cant get enough of watching it, I love it too much. It is also exciting that the new Jurassic World: Dominion will now have the original cast come back to their original roles and that to me is really exciting and I cannot wait for that to come out and to see their faces again in the New Jurassic World movie coming out this summer. I will show this film to my kids and I hope this film contiues to be watched and Loved for many many years to come. Overall, 11/10. A Wonderful film with a phenomenal soundtrack!","
            7/10
            "
"HelloTexas11","27 October 2007","I've seen Jurassic Park probably five or six times, and each time I hope I'll like it better than the last, and I never do. A perfectly wonderful book by Michael Crichton is given the 'Spielberg' treatment and aside from the wonderful special effects, betrayed badly.Where to begin? First and foremost, one of Spielberg's worst tendencies is to find annoying personal characteristics endearing. The two children aren't precocious and charming, they're little brats, no matter how hard the director tries to paint them otherwise. The character of John Hammond, in the book, was as I recall a rather devious, unscrupulous man; here, he is portrayed as a cheerful, slightly ditsy, misguided Santa Claus. And Laura Dern manages to almost single-handedly sink this movie. Her perpetual ""I don't know whether to laugh or cry"" expression is probably the single most irritating element in a film full of them. And everyone smiles WAY too much.Spielberg, for all his supposed genius, also delivers some of the most excruciating action and danger scenes on record. Whenever one of the human characters is in a spot, it is inevitably his or her own stupid fault. They can't lock the door, they won't turn the flashlight off, they're too scared to jump off the fence, they can't run fast enough... every damn scene is like this, to where you want to reach into the screen and slap the hell out of them.Sam Neill comes off best, in what is really a thankless role as the straight man for all this nonsense. But he's dragged down by the same sappy script.Well, what about those special effects, you might ask? Yes, the dinosaurs are spectacular and very believable (much more so than the humans really) and they are the only reason I'm giving this four stars out of ten. In 1993, we were still being blown away by filmmakers constantly upping the ante when it came to mind-blowing effects and sure enough, Jurassic Park was state-of-the-art when it came out. Since then, I daresay people have become more blase about such things as they have become more routine.To be fair, there are some wonderful sequences in Jurassic Park and it's certainly worth seeing at least once. I suppose ultimately that is the most maddening thing about it; it could have been so much better, not just another summer blockbuster, but a truly great motion picture. It's a real shame that it's not.","
            10/10
            "
"dinolover-22952","14 July 2016","It is the best science fiction movies with dinosaurs I have ever seen. I love dinosaurs, especially sauropods that were brought back through De- Extinction. Even though the raptors are terrifying, Most dinosaurs were peaceful. There should be a real life Jurassic Park, So I would be really happy. It was also the best movie ever, Having advanced CGI, animatronics, etc. back then, There are sequels to this movie I thought were also great, even if the other fans didn't like it. The sound effects are really life like. The dinosaurs even had most of their behavior almost accurate. I love how the scientists are attempting to bring back dinosaurs in the franchise. Best movie series ever. :)","
            8/10
            "
"papanloveu","31 July 2021","The Movie to define a Generation.If you were born in the 90s or before, you had a connection with people...you absolutely loved this movie, and it made a mark on you. I think most people remember when they saw this movie first, because it was that awe inspiring of an experience.MASTERPIECE!","
            4/10
            "
"marioarp1995","1 August 2011","Jurassic Park is the main reason I became a dinosaur fan. When I first saw this movie when I was about 3 or 4 I watched it mainly for the dinosaurs, which I still do but after watching it when I'm a lot older I started to not just love the dinosaurs but the IDEA of a theme park zoo filled with dinosaurs! I also think the story is amazing. I don't see how anyone could hate this film or give it a 1 out of 10. Also as you may know, Dr. Grants character is based on the famous paleontologist Jack Horner. Who as we speak is working on reverse engineering a chicken to give is teeth, tail, and change its wings to claws. This is just one of the many reasons I am interested so much in JP. It has inspired people and has been inspired by people. 10/10","
            7/10
            "
"KoolCatReviews","6 April 2020","What a great thing of wonder would a theme park full of dinosaurs be, if only it was all that straight forward. A great cast leads this classic dinosaur experience. The characters are likeable and memorable. Sam Neil feels like the Dino mad uncle we always needed. Plot-wise the movie is good. Some of the animation of the dinosaurs are amazing for there time. This really does make for one of the best family Sunday afternoon films.","
            10/10
            "
"ToldYaSo","24 April 1999","My friend Chris was one of the first people I know to see this film. He told me it was ""scary"".""Scary? It's a kids movie,"" I replied in disbelief, certain that I knew what I was talking about based on the previews I had seen and nothing else. At this point, I hadn't even read the book yet.""No way man, it's scary stuff,"" he assured me.""OK, well, I'll be seeing it soon anyway,"" I told him, thinking that maybe he was too easily frightened or had begun to lose it.My wife and I went within the first week of its release, no one else we knew had seen it aside from Chris. No one else could confirm or deny my expectations. We saw it at the York Theater in Toronto, a fine theater with all the Dolby Digital THX sound that today is far more commonplace. We sat in a packed theater in quite possibly the best seats in the house and prepared ourselves.We couldn't prepare enough.From the first appearance of the menacing T-Rex until the end of the film, I didn't relax for a moment. Not even in the ""calm-down-it's-sleepy-time"" part of the film. I was literally on the edge of my seat in sheer terror and awe of the film. It is by all definitions of the word, a thriller.It is with regret and a little shame that I confess that in my raving of the film, I may have spoiled it for others by raising their expectations too high, which is mainly why I like to see some films early on. My expectation was that this film was made for children and would probably be entertaining, but instead it floored me completely. I had difficulty with basic motor skills trying to exit the theater, I had been so tense throughout the entire film I could barely walk away.","
            10/10
            "
"robsta23","22 April 2015","I remember having a conversation with my cousin, asking him why Jurassic Park intrigued him if his priority when it comes to film is good character development. He said it has good philosophical discussion, and he pointed out the scene he was referring to: the ""life finds a way"" scene, and I had forgotten this gem within the movie. And recently a friend of mine pointed out that Dr. Grant ties two female ends of seat belts together to strap himself in which is a great metaphor for this motif of the dinosaurs supposedly being all female.These philosophical aspects, including the amazing scene focusing on a debate of whether it is responsible to try to add dinosaurs back into the swing of things altogether, raise the movie up higher than the mere B movie critics believe it to be. But is there anything wrong with the overall fun and excitement of this seemingly simple people? We see dinosaurs on-screen for the first time in a much different way - both with the use of animatronics and digitally. We also have the quirky characters such as Wayne Knight and Jeff Goldblum's characters to add to the fun.The film is pretty aware of itself, making references to King Kong and displaying the dinosaurs as a spectacle to future park-goers, just as the idea of the effects to make the dinosaurs are a spectacle to us as movie-goers. It also draws attention to its potential horror towards little kids with Dr. Grant illustrating the idea of a velociraptor to a cocky kid, and the grandkids that tag along for the park ride that are shown screaming on-screen.What a great, underrated movie by Spielberg.","
            10/10
            "
"KingBrian1","25 May 2014","The movie that made Palaeontology cool. Jurassic Park written by Crichton is brought to life with Spielberg's animatronic Dinosaur models and thrilling chase scenes. This movie is exhilarating, fun and terrifying.The story is basically about monster lizards breaking out of their restraints after a disgruntled employer plans to steal Dinosaur genetic code having shut off the islands power on which they were residing on.The more detailed story is one of Dr Hammond a wealthy eccentric philanthropist setting up an amusement park off the Costa Rica coast and cloning the fossils of extinct Dinosaurs to fill the island with Terror Lizards like Velociraptor & T Rex. This crazy idea needs the backing of experts like Alan Grant, Ellie Sattle & Ian Malcolm to sign up on this but when the park is exposed to a combination of bad weather bad employees and bad engineering the entire system collapses and so the remaining people on the Island must traverse the Park dodging the Dinosaurs and escape to safety.All in all a great movie of the 90's.","
            10/10
            "
"Calicodreamin","5 August 2020","An absolute classic, Jurassic park is everything. Amazing storyline, amazing cinematography and special effects, and well cast characters. The whole cast has great chemistry and for the dinosaur animatronics are so believable. One of my all time favorites.","
            8/10
            "
"Hey_Sweden","29 December 2012","Co-scripted by Michael Crichton from his own best-seller, ""Jurassic Park"" is a great deal of fun, offering action, suspense, scares, amusing performances, and some of the most utterly convincing special effects that you'll see in a film of this type.Billionaire John Hammond (a delightful Richard Attenborough) has created an island theme park populated with living dinosaurs that he's had cloned from ancient dinosaur DNA. When issues as to the safety of the park arise, he hires renowned paleontologist Alan Grant (Sam Neill), paleobotanist Ellie Sattler (Laura Dern), and mathematician Ian Malcolm (Jeff Goldblum) to inspect the place and hopefully give it their seal of approval. He's so confident of his security measures that he even lets his target audience, in the form of his grandchildren Lex (Ariana Richards) and Tim (Joseph Mazzello), come along. Of course, one can guess that things are going to go horribly wrong...Steven Spielberg once again proves himself one of the masters of such entertainment, giving it a true sense of grandeur, with excellent location shooting in Hawaii and the Dominician Republic, impressive production design by Rick Carter, and effective cinematography by old pro Dean Cundey. John Williams gives the production another of his anthemic and rousing scores. Admittedly the story takes its time to really get going, but it emerges a grabber, with the tyrannosaurus rex and the velociraptors becoming true forces to be reckoned with. The dinosaurs are brought to convincing life using a variety of practical and digital effects, utilizing the talents of such gentlemen as Dennis Muren, Stan Winston, Phil Tippett, and Michael Lantieri.The actors display just the right amount of awe & wonder and subsequently apprehension and real fear, and the spectacle thankfully never overwhelms their efforts; Goldbum is priceless in his typical fashion as a charismatic eccentric; also among the well chosen supporting cast are Bob Peck as game warden Muldoon, Martin Ferrero as the lawyer Gennero, B.D. Wong as a scientist, and Samuel L. Jackson and the scene stealing Wayne Knight as other park personnel. And just as the actors show that awe & wonder, so too will the audience feel those emotions; there is real movie making magic on display here.Any kid *or* adult who's ever felt a fascination for the extinct animals of Earths' past will be pleased with the results. And the message about the nature and folly of man trying to ""play God"", as it were, often a recurring theme in fantastic cinema, comes across here in high style. Very well done overall.Nine out of 10.","
            10/10
            "
"aramo1","20 January 2002","Based on R1 DVD 122 minWell above average sci-fi action movie. Sam Neill (Dr. Alan Grant) is near perfect for the part of the hands on scientist, Richard Attenborough (John Parker ""spared no expense "" Hammond)is a delight. The kids are good but one has to wonder why Jeff Goldblum (Dr. Ian Malcolm) bothered to turn up at all.7/10 well worth watching","
            9/10
            "
"donovandesign","21 February 2022","Steven Spielberg and Kathleen Kennedy have produced films that will be remembered for centuries to come.The same way we revere Masters such as DaVinci and Michaelangelo, future viewers will be in awe of the artistry and artistic vision of this ""once in a century"" collaboration.""Jurassic Park"" set yet another standard, as so many of this team's films have and at almost 30 years old, it's as fresh, gripping, thrilling and entertaining as the day it first opened.What a Hell of a great film!","
            10/10
            "
"anaconda-40658","25 June 2015","Jurassic Park (1993): Dir: Steven Spielberg / Cast: Sam Neill, Laura Dern, Jeff Goldblum, Richard Attenborough, Wayne Knight: Breakthrough film for director Steven Spielberg who brings prehistoric creatures to life in what can only be described as a brilliant technical advancement. The title represents the old and the new where Richard Attenborough establishes a theme park where dinosaurs roam wild thanks to cloning prehistoric D.N.A. He brings in a research team, most of whom will become lunch to creatures unimagined. Inappropriate marketing to families featuring frightening and graphic scenes. Great concept with heart pounding suspense and a triumphant climax. The cast mainly play out characters whom are nothing more than what's on the menu. Sam Neill is strong in his position of protecting two children as well as present narrative insight. Laura Dern plays the second smartest character in her search and rescue attempts as well as struggle with the power. Jeff Goldblum as a mathematician is given funny lines but illogical decisions that land him an injury. Attenborough's theme park owner is a joke and really needs heavy medicine and psychiatry. Wayne Knight plays a villain who makes a failed attempt to steal the DNA. Spielberg created broader characters in Jaws, however this still remains a landmark film that excels in brilliant technical advancement. Score: 8 ½ / 10","
            9/10
            "
"jldmp1","5 June 2006","We knew going into this there would be little to kindle the intellect -- Spielberg is only interested in stories that can be explained in comic book panels...There's not much cinematic originality either, CGI notwithstanding. The primary visual element here is 'the hand' -- Spielberg's mainstay.Everything is told through borrowings from other movies, mainly ""King Kong"" (from the first remake in '76), ""Jaws"" (the raptor pen), ""Aliens""(the kitchen evasion and the dropped ceiling escape). Heck, even ""Crocodile Dundee"" makes an appearance.So back to the intellect - Spielberg's in way over his head when he attempts to explicate chaos theory; Crichton's parallel novel is better for this, if that interests you. Essentially, all complex systems must eventually behave unpredictably. The thing is, Spielberg never attempts anything complex, and never lets anything out of the control of the guiding hand...he just tries to purport the illusion of complexity: the flea circus writ large.The entire movie is mirrored by the tour's animated DNA cartoon -- all of the content is meant for the consumption of mental ten year olds.Malcolm is presented with the proper cerebral depth in the novel; Goldblum knows this is a joke, so he plays this as the comic relief. He's the only real fun here.","
            9/10
            "
"kimcoxmonm","2 August 2021","I love the Netflix series and it was wonderful that in season 3, they included this movie in the 4 icons featured. It also includes ""Forrest Gump"", ""Pretty Woman"" and ""Back To The Future"". Yes, I'm going to give a review within a review.The Netflix series is a must watch. I've seen so many behind the scenes on many movies but this goes as far back as concept and preproduction in actually getting movie from the infancy of the idea through it's finished product. It talks to those involved in making the movie, producers, directors, DOCs, special and visual effects, writers, etc who examine all the work that goes into creating a film and shows footage of the actual work. It's fascinating. Plus when you hear things from the horses' mouths, you realize that alot of the trivia you read is, well, not quite on the mark at times. Then again, I take some of it with a cautious eye, especially when you see several versions of the same topic.I have enjoyed Jurassic Park and it's sequels over the years many times over. I'm looking forward to the forthcoming sequel slated for 2022. Who doesn't love dinosaurs!! There have been many scientific discoveries and theories in paleontology in the the nearly 30 years since the movie came out. This franchise could go on for a long time due to new science being incorporated into the movies.In reading that the beloved main characters from the original are coming back ( hopefully in more than a cameo as a ploy to ramp up interest and ticket sales) would add depth to the story. The original team revisiting the wonders and then the horrors they experienced 30 years prior and it's emotional impact along with the changes that took place over the years. I'm excited for it.Is it the greatest movie ever made? No, there are far better but far more are worse. Spielberg has made better movies and some clunkers. Are the special effects great? For the time, yes. There were novel effects that changed the course of movie making and commonplace today. There are movies now that have big budgets and can still have so-so or poor CGI. The script has flaws but many great movies have a stinker or two. There were changes from the source material which is typical. As an example: they use ""Mr. DNA"" as a filler for exposition. It's a quirky juxtaposition from the movies tone, but funny. Great novels can't always be translated to a visual medium. Liberties are taken to accommodate the running time, the flow of the story and,many times, the movie makers vision. Heck, there are times when an author will admit they wished they had come up with something in the screenplay. And finally, the science. Come on people, it's a work of fiction based on theory. Again, think of the discoveries that have refuted science at the time the movie was made. Even in the novel, Crichton has admitted to errors and even those are based on what the scientists think, not know. It's a science fiction thriller not a documentary. Sure, there are mistakes made. Every movie has them. Unless they are blatant errors you can see, the rest.....I don't want to watch a movie frame by frame to pick out an insignificant boo-boo. It's entertainment and an escape. Those who nitpick every little mistake made is not really taking it all in they way it's meant to be. Get over yourself!! Your opinion is yours and it's on an internet movie site. These reviews are all virtual ephemera. You're not going to make or break someone else's experience who has an open mind.For those few who bashed the hundreds who gave it high marks simply thinking they are stupid and have no clue about a good movie...well I couldn't even comprehend the ones with nonsensical writing and poo poo on those who live in the ""I'm above this type of drivel"". Aaaah, no your not.Yes, there is a moral...Greed and playing God will eat you alive. In this case, literally.Oh, by the way, if you haven't read the source material, Michael Crichton's novel ""Jurassic Park"", you're missing out.","
            9/10
            "
"dkncd","11 October 2007","""Jurassic Park"" is Steven Spielberg's immensely popular movie about a theme park with live dinosaurs made possible by replicating preserved dinosaur DNA. Through a calamity the dinosaurs escape their fenced confinements and run amok in the park. The park was created with impressive sets and scenes. John Williams' score is of the highest quality and greatly adds to the majesty and intensity of the film.On paper it sounds as though ""Jurassic Park"" could be just another ""monsters attack"" movie, but there are several factors that make this film far better than just another monster movie. There is some character development and importantly each part is perfectly cast, which means that each character makes a distinct impression and has memorable lines. Richard Attenborough is the perfect man to play the genial park owner John Hammond. The way Hammond mused about his dream of creating Jurassic Park even when the park was in shambles was great. Sam Neill and Laura Dern were apt choices to play the respectable paleontologists Drs. Grant and Sattler. Jeff Goldblum creates a memorable character in the eccentric Dr. Malcolm. I enjoyed seeing all of the characters in this film.Of course there are the film's famous dinosaurs, which are amazingly realistic. There is enough variation in the types of dinosaur encounters and the context in which they are encountered such that they don't become boring. The situations with the dinosaurs are created such that tension is created. ""Jurassic Park"" manages to rise far above being simply another monster movie.","
            9/10
            "
"Movie-20","10 November 1998","i Roared for this movie, it was great, i mean if you didn't see it in the big screen well then that's your problem, i gave this one a10/10","
            10/10
            "
"BenjaminPopkin","30 March 2022","""What do you call a blind dinosaur?"" ""do-you-think-he-saurus""I remember when I was really young I used to be absolutely terrified of this movie.This film is honestly near perfect. The practical effects still hold up even though some of the CGI doesn't. Regardless, the film looks great. The practical effects and the use of the animatronics are some of my favorite special effects work I've seen in any film.John Williams is honestly the best music composer on the planet. Nothing he makes doesn't sound beautiful, and his score for this film is breathtaking and I can listen to it on a daily basis. I also always think of Universal Studios when I hear it.All the actors do great and deliver memorable performances which is why this film is as popular and as great as it is. There are so many memorable quotes, the film is so quotable. The film feels like it never drags and there is always something going on, the pacing is perfect. With different actors it just couldn't be the same (like Star Wars, Harry Potter, Avengers, etc). But no surprise Jeff Goldblum gives the best performance in the entire film. The man deserves an Oscar for this tbh. He doesn't even have to try, a breathing legend.Overall, I believe that Jurassic Park is a masterpiece in storytelling and filmmaking. From the sound to the production design to the special effects, screenplay, acting, and all the iconic shots and memorable moments. (welcome to Jurassic park scene, water shaking, trex, kitchen scene, jello shaking, etc). This film not only gets everything right but is also one of the most influential films in cinema when it comes to special effects. This film is a masterpiece *chefs kiss* I've seen it 50 times and I will rewatch it more over and over again for years to come. It will never get old. Steven Spielberg really ""paid no expense."" Iykyk.Somehow I always forget that Samuel L. Jackson is in this film.","
            8/10
            "
"mts89","22 October 2015","As a child I saw this movie in theaters and many times on VHS. I was mesmerized by the adventurous and thrilling nature of the film. JP made a big influence on 90's kids. Today I can watch this movie and still be thrilled by the product. Being older now I see the appeal to both children and adults. The characters are relate able and you feel immersed in the Jurassic experience. The music is amazing and adds to the adventurous feel of Jurassic Park. As a kid I saw many adult characters as role models and now I watch and laugh at all their clever quotes. The story and effects still are great; I believe this is one of the best productions of the 1990's; I believe this film is a great example of movie magic.","
            7/10
            "
"Garcwrites","4 June 2015","Jurassic Park starts off with a glimpse of the danger the dinosaur represents then introduces the characters and the park. The park is first showcased as potential visitors would discover it, they see the dinosaurs, then learn how they're made, before everything start to go awry.The film plays with our fears of the unseen because in a good portion of it we don't actually see the scary dinosaurs being scary. We hear them, we know they are lurking off camera but we don't actually see them. It's such a good build up that when we see ""the monsters"" it's scary. My heart was racing like the little child I was when I first saw it. The suspense is one of the things that get you, even more than the few jump scares the movie has.Watching Jurassic Park now made me realize how smart the plot is. lt plays on concerns people would have if this park was really about to open. Some characters only have dollar signs in their eyes and others see it as something incredible that can turn deadly, which it does but it doesn't take away from the fact that it could be wonderful.The special effects in this film look as good now as they were when the movie first came out. My guess is that they used a lot of practical effects, animatronics and great camera shots to make us believe that these dinosaurs are real. It thought me that even the most incredible things can be dangerous.Jurassic Park is such a good movie, it was for a long time the closest thing to an horror movie that I could watch. The film is great fun and very much enjoyable now. @wornoutspines","
            10/10
            "
